"","GOID","cluster","ClusterTheme","UserTheme","pVal","TERM"
"33","GO:0006518",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"peptide metabolic process"
"34","GO:0006520",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"cellular amino acid metabolic process"
"35","GO:0006606",112,"er membrane","cytoplasmic proteasome \ er resident",0.695500714767525,"protein import into nucleus"
"36","GO:0006732",105,"glucose residues","enzymatic reaction \ nonprotein organic \ organic cofactors",0.805760890571108,"coenzyme metabolic process"
"37","GO:0006739",332,"2 amino","adenine dinucleotide \ coenzyme involved \ dinucleotide phosphate \ form nadp \ form nadph \ nicotinamide adenine \ oxidized form \ reduced form",0.913157205746971,"NADP metabolic process"
"38","GO:0006793",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"phosphorus metabolic process"
"39","GO:0006796",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"phosphate-containing compound metabolic process"
"40","GO:0006807",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"nitrogen compound metabolic process"
"41","GO:0006810",316,"directed movement","directed movement",0.0675173009345651,"transport"
"42","GO:0006883",200,"internal steady","internal steady",0.0129714950366812,"cellular sodium ion homeostasis"
"43","GO:0006886",302,"directed movement","transported substances",0.0392395837821326,"intracellular protein transport"
"44","GO:0006887",68,"regulated release","plasma membrane",0.453819560216911,"exocytosis"
"45","GO:0006888",289,"bilayer membrane","cis golgi",0.138131728453014,"ER to Golgi vesicle-mediated transport"
"46","GO:0006890",289,"bilayer membrane","cis golgi",0.138131728453014,"retrograde vesicle-mediated transport, Golgi to ER"
"47","GO:0006891",289,"bilayer membrane","cis golgi",0.138131728453014,"intra-Golgi vesicle-mediated transport"
"48","GO:0006913",35,"endoplasmic reticulum","directed movement",0.955979436222017,"nucleocytoplasmic transport"
"49","GO:0006942",138,"muscle contraction","muscle contraction",0.612895746294333,"regulation of striated muscle contraction"
"50","GO:0006950",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to stress"
"51","GO:0006955",319,"immune response","immune system",0.0698116516485275,"immune response"
"52","GO:0006986",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to unfolded protein"
"53","GO:0006996",178,"cellular level","cellular level",0.00458620014973849,"organelle organization"
"54","GO:0007005",178,"cellular level","cellular level",0.00458620014973849,"mitochondrion organization"
"55","GO:0007006",178,"cellular level","cellular level",0.00458620014973849,"mitochondrial membrane organization"
"56","GO:0007050",329,"cell cycle","cell cycle",0.542722737490049,"cell cycle arrest"
"57","GO:0007155",65,"adhesion molecules","adhesion molecules",0.31022994064009,"cell adhesion"
"58","GO:0007160",65,"adhesion molecules","adhesion molecules",0.31022994064009,"cell-matrix adhesion"
"59","GO:0007264",322,"protein complex","gtpase relays \ monomeric gtpase",0.924664945959069,"small GTPase mediated signal transduction"
"60","GO:0007346",329,"cell cycle","cell cycle",0.542722737490049,"regulation of mitotic cell cycle"
"61","GO:0008033",53,"5 triphosphate","mature trna \ pre trna \ purine ring \ ribose 5 \ trna molecule \ trna ready",0.178010857869571,"tRNA processing"
"62","GO:0008104",213,"specific location","specific location",3.05164247263006e-05,"protein localization"
"63","GO:0008152",78,"living organisms","individual cells",6.38016900003869e-08,"metabolic process"
"64","GO:0008285",284,"cell proliferation","cell death",1.28063832886028e-05,"negative regulation of cell proliferation"
"65","GO:0008361",284,"cell proliferation","cell death",1.28063832886028e-05,"regulation of cell size"
"66","GO:0008652",175,"carbon atoms","acids organic \ amino substituents \ carbon atom \ saturated carbon",0.29949342536181,"cellular amino acid biosynthetic process"
"67","GO:0009051",268,"compound donor","phosphate shunt \ produces ribulose \ reduced nadp",0.84669570315707,"pentose-phosphate shunt, oxidative branch"
"68","GO:0009056",78,"living organisms","individual cells",6.38016900003869e-08,"catabolic process"
"69","GO:0009057",377,"2 amino","molecular mass \ relative molecular",0.0573373862089096,"macromolecule catabolic process"
"70","GO:0009058",78,"living organisms","individual cells",6.38016900003869e-08,"biosynthetic process"
"71","GO:0009109",377,"2 amino","molecular mass \ relative molecular",0.0573373862089096,"coenzyme catabolic process"
"72","GO:0009112",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"nucleobase metabolic process"
"73","GO:0009116",108,"guanyl nucleotides","5 hydroxyl",3.34081931536983e-05,"nucleoside metabolic process"
"74","GO:0009117",108,"guanyl nucleotides","5 hydroxyl",3.34081931536983e-05,"nucleotide metabolic process"
"75","GO:0009119",108,"guanyl nucleotides","5 hydroxyl",3.34081931536983e-05,"ribonucleoside metabolic process"
"76","GO:0009123",394,"compound consisting \ sugar esterified","compound consisting \ sugar esterified",3.94304283992643e-06,"nucleoside monophosphate metabolic process"
"77","GO:0009124",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"nucleoside monophosphate biosynthetic process"
"78","GO:0009129",394,"compound consisting \ sugar esterified","compound consisting \ sugar esterified",3.94304283992643e-06,"pyrimidine nucleoside monophosphate metabolic process"
"79","GO:0009130",394,"compound consisting \ sugar esterified","compound consisting \ sugar esterified",3.94304283992643e-06,"pyrimidine nucleoside monophosphate biosynthetic process"
"80","GO:0009141",394,"compound consisting \ sugar esterified","compound consisting \ sugar esterified",3.94304283992643e-06,"nucleoside triphosphate metabolic process"
"81","GO:0009142",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"nucleoside triphosphate biosynthetic process"
"82","GO:0009144",394,"compound consisting \ sugar esterified","compound consisting \ sugar esterified",3.94304283992643e-06,"purine nucleoside triphosphate metabolic process"
"83","GO:0009150",108,"guanyl nucleotides","5 hydroxyl",3.34081931536983e-05,"purine ribonucleotide metabolic process"
"84","GO:0009152",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"purine ribonucleotide biosynthetic process"
"85","GO:0009156",394,"compound consisting \ sugar esterified","compound consisting \ sugar esterified",3.94304283992643e-06,"ribonucleoside monophosphate biosynthetic process"
"86","GO:0009161",394,"compound consisting \ sugar esterified","compound consisting \ sugar esterified",3.94304283992643e-06,"ribonucleoside monophosphate metabolic process"
"87","GO:0009165",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"nucleotide biosynthetic process"
"88","GO:0009167",394,"compound consisting \ sugar esterified","compound consisting \ sugar esterified",3.94304283992643e-06,"purine ribonucleoside monophosphate metabolic process"
"89","GO:0009168",394,"compound consisting \ sugar esterified","compound consisting \ sugar esterified",3.94304283992643e-06,"purine ribonucleoside monophosphate biosynthetic process"
"90","GO:0009199",394,"compound consisting \ sugar esterified","compound consisting \ sugar esterified",3.94304283992643e-06,"ribonucleoside triphosphate metabolic process"
"91","GO:0009201",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"ribonucleoside triphosphate biosynthetic process"
"92","GO:0009205",394,"compound consisting \ sugar esterified","compound consisting \ sugar esterified",3.94304283992643e-06,"purine ribonucleoside triphosphate metabolic process"
"93","GO:0009259",108,"guanyl nucleotides","5 hydroxyl",3.34081931536983e-05,"ribonucleotide metabolic process"
"94","GO:0009260",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"ribonucleotide biosynthetic process"
"95","GO:0009612",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to mechanical stimulus"
"96","GO:0009628",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to abiotic stimulus"
"97","GO:0009636",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to toxic substance"
"98","GO:0009653",298,"anatomical structures","anatomical structures \ morphogenesis pertains \ organized morphogenesis",0.955278005774583,"anatomical structure morphogenesis"
"99","GO:0009888",55,"mature structure","mature structure",0.158302393351661,"tissue development"
"100","GO:0009894",383,"lipid storage","protein occurring",0.000596617875435631,"regulation of catabolic process"
"101","GO:0009987",62,"organism's body","biological quality",0.0229488507773057,"cellular process"
"102","GO:0010033",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to organic substance"
"103","GO:0010243",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to organonitrogen compound"
"104","GO:0010248",36,"voltage gated","electrochemical gradient",0.515344912788108,"establishment or maintenance of transmembrane electrochemical gradient"
"105","GO:0010256",178,"cellular level","cellular level",0.00458620014973849,"endomembrane system organization"
"106","GO:0010498",377,"2 amino","molecular mass \ relative molecular",0.0573373862089096,"proteasomal protein catabolic process"
"107","GO:0010632",364,"cell differentiation","epithelial cell",0.984505308032417,"regulation of epithelial cell migration"
"108","GO:0010769",357,"formation arrangement","cell morphogenesis",0.0467993588781997,"regulation of cell morphogenesis involved in differentiation"
"109","GO:0010770",357,"formation arrangement","cell morphogenesis",0.0467993588781997,"positive regulation of cell morphogenesis involved in differentiation"
"110","GO:0010941",284,"cell proliferation","cell death",1.28063832886028e-05,"regulation of cell death"
"111","GO:0010975",95,"mature structure","neuron projection",0.851048720781891,"regulation of neuron projection development"
"112","GO:0010976",95,"mature structure","neuron projection",0.851048720781891,"positive regulation of neuron projection development"
"113","GO:0014070",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to organic cyclic compound"
"114","GO:0014819",138,"muscle contraction","muscle contraction",0.612895746294333,"regulation of skeletal muscle contraction"
"115","GO:0015031",316,"directed movement","directed movement",0.0675173009345651,"protein transport"
"116","GO:0015949",108,"guanyl nucleotides","5 hydroxyl",3.34081931536983e-05,"nucleobase-containing small molecule interconversion"
"117","GO:0016032",337,"viral process","cell replication \ circumstances complete \ ensure survival \ genetic material \ genome information \ genome replication \ host genome \ host includes \ host ribosomes \ includes attachment \ includes infection \ information translation \ life cycle \ multi organism \ organism process \ particle decoding \ progeny virus \ ribosomes genome \ survival includes \ viral genetic \ viral genome \ viral mrna \ viral particles \ virus particle \ virus particles \ viruses follow",0.509357835138649,"viral process"
"118","GO:0016043",52,"aggregation arrangement","cellular component",0.144156715619499,"cellular component organization"
"119","GO:0016192",302,"directed movement","transported substances",0.0392395837821326,"vesicle-mediated transport"
"120","GO:0016255",288,"terminal domain","polypeptide chain",0.0189509551985704,"attachment of GPI anchor to protein"
"121","GO:0016310",32,"protein amino","acid residue \ nitrogen atom \ phosphoric amide \ phosphoric anhydride \ phosphoric ester",0.263501486736478,"phosphorylation"
"122","GO:0016579",232,"carbohydrate derivative","peptide bond",0.230159563906556,"protein deubiquitination"
"123","GO:0017144",78,"living organisms","individual cells",6.38016900003869e-08,"drug metabolic process"
"124","GO:0017157",357,"formation arrangement","cell morphogenesis",0.0467993588781997,"regulation of exocytosis"
"125","GO:0018193",32,"protein amino","acid residue \ nitrogen atom \ phosphoric amide \ phosphoric anhydride \ phosphoric ester",0.263501486736478,"peptidyl-amino acid modification"
"126","GO:0019058",337,"viral process","cell replication \ circumstances complete \ ensure survival \ genetic material \ genome information \ genome replication \ host genome \ host includes \ host ribosomes \ includes attachment \ includes infection \ information translation \ life cycle \ multi organism \ organism process \ particle decoding \ progeny virus \ ribosomes genome \ survival includes \ viral genetic \ viral genome \ viral mrna \ viral particles \ virus particle \ virus particles \ viruses follow",0.509357835138649,"viral life cycle"
"127","GO:0019218",383,"lipid storage","protein occurring",0.000596617875435631,"regulation of steroid metabolic process"
"128","GO:0019220",383,"lipid storage","protein occurring",0.000596617875435631,"regulation of phosphate metabolic process"
"129","GO:0019377",377,"2 amino","molecular mass \ relative molecular",0.0573373862089096,"glycolipid catabolic process"
"130","GO:0019538",78,"living organisms","individual cells",6.38016900003869e-08,"protein metabolic process"
"131","GO:0019637",103,"aromatic hydrocarbon","active form \ b6 compounds \ combined nicotinamide \ compounds pyridoxal \ form pyridoxal \ nicotinamide nucleotides \ pyridoxal phosphate \ pyridoxal pyridoxamine \ vitamin b6",0.355222435342262,"organophosphate metabolic process"
"132","GO:0019682",122,"6 phosphate","glucose 6 \ ribulose 5",0.0443392140692969,"glyceraldehyde-3-phosphate metabolic process"
"133","GO:0019693",122,"6 phosphate","glucose 6 \ ribulose 5",0.0443392140692969,"ribose phosphate metabolic process"
"134","GO:0019752",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"carboxylic acid metabolic process"
"135","GO:0019882",252,"peptide antigen","antigen peptide \ cell expresses \ expresses antigen \ mhc protein",0.796347873670223,"antigen processing and presentation"
"136","GO:0022411",85,"bitten organism","cellular process",0.750004252806822,"cellular component disassembly"
"137","GO:0022607",52,"aggregation arrangement","cellular component",0.144156715619499,"cellular component assembly"
"138","GO:0023051",226,"cell communication","signaling process",0.000190880884754652,"regulation of signaling"
"139","GO:0023056",226,"cell communication","signaling process",0.000190880884754652,"positive regulation of signaling"
"140","GO:0030007",200,"internal steady","internal steady",0.0129714950366812,"cellular potassium ion homeostasis"
"141","GO:0030162",383,"lipid storage","protein occurring",0.000596617875435631,"regulation of proteolysis"
"142","GO:0030163",377,"2 amino","molecular mass \ relative molecular",0.0573373862089096,"protein catabolic process"
"143","GO:0030198",178,"cellular level","cellular level",0.00458620014973849,"extracellular matrix organization"
"144","GO:0030334",284,"cell proliferation","cell death",1.28063832886028e-05,"regulation of cell migration"
"145","GO:0030335",284,"cell proliferation","cell death",1.28063832886028e-05,"positive regulation of cell migration"
"146","GO:0030516",211,"postsynaptic potential","axon extension",0.267713823273187,"regulation of axon extension"
"147","GO:0031329",383,"lipid storage","protein occurring",0.000596617875435631,"regulation of cellular catabolic process"
"148","GO:0031346",226,"cell communication","signaling process",0.000190880884754652,"positive regulation of cell projection organization"
"149","GO:0031399",121,"lipoprotein particle","protein serine",0.146901336387339,"regulation of protein modification process"
"150","GO:0031400",221,"stops prevents","stops prevents",0.0112523145956755,"negative regulation of protein modification process"
"151","GO:0031647",261,"stimulus indicating","specific location",0.096601189704285,"regulation of protein stability"
"152","GO:0032210",143,"chromatin silencing","telomeric repeats",0.685160034570626,"regulation of telomere maintenance via telomerase"
"153","GO:0032212",143,"chromatin silencing","telomeric repeats",0.685160034570626,"positive regulation of telomere maintenance via telomerase"
"154","GO:0032268",383,"lipid storage","protein occurring",0.000596617875435631,"regulation of cellular protein metabolic process"
"155","GO:0032269",221,"stops prevents","stops prevents",0.0112523145956755,"negative regulation of cellular protein metabolic process"
"156","GO:0032270",383,"lipid storage","protein occurring",0.000596617875435631,"positive regulation of cellular protein metabolic process"
"157","GO:0032386",226,"cell communication","signaling process",0.000190880884754652,"regulation of intracellular transport"
"158","GO:0032469",200,"internal steady","internal steady",0.0129714950366812,"endoplasmic reticulum calcium ion homeostasis"
"159","GO:0032502",62,"organism's body","biological quality",0.0229488507773057,"developmental process"
"160","GO:0032526",301,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",0.746433121603126,"response to retinoic acid"
"161","GO:0032543",367,"residues polyadenylation","bonds initiated \ covalent attachment",0.000406105537408326,"mitochondrial translation"
"162","GO:0032879",226,"cell communication","signaling process",0.000190880884754652,"regulation of localization"
"163","GO:0032880",261,"stimulus indicating","specific location",0.096601189704285,"regulation of protein localization"
"164","GO:0032940",68,"regulated release","plasma membrane",0.453819560216911,"secretion by cell"
"165","GO:0032984",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"protein-containing complex disassembly"
"166","GO:0032989",281,"cell division","cellular structures",0.93961387598558,"cellular component morphogenesis"
"167","GO:0033036",213,"specific location","specific location",3.05164247263006e-05,"macromolecule localization"
"168","GO:0033157",357,"formation arrangement","cell morphogenesis",0.0467993588781997,"regulation of intracellular protein transport"
"169","GO:0033365",213,"specific location","specific location",3.05164247263006e-05,"protein localization to organelle"
"170","GO:0033554",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"cellular response to stress"
"171","GO:0033673",221,"stops prevents","stops prevents",0.0112523145956755,"negative regulation of kinase activity"
"172","GO:0034404",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"nucleobase-containing small molecule biosynthetic process"
"173","GO:0034470",265,"establishment maintenance","coding rna \ mature ncrna \ ncrna molecules \ ncrna transcripts \ rna ncrna",0.617364215585313,"ncRNA processing"
"174","GO:0034504",320,"specific location","membrane raft \ protein transports",0.390889907551049,"protein localization to nucleus"
"175","GO:0034613",213,"specific location","specific location",3.05164247263006e-05,"cellular protein localization"
"176","GO:0034641",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"cellular nitrogen compound metabolic process"
"177","GO:0034976",301,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",0.746433121603126,"response to endoplasmic reticulum stress"
"178","GO:0035295",86,"specific outcome","basic structure \ endothelial tubes \ gases liquids \ genital tracts \ including lung \ initial formation \ mammary gland \ structure epithelial \ tissues including \ trachea kidney \ transport gases \ tubes transport \ urinary genital \ vascular system",0.793110049911263,"tube development"
"179","GO:0035966",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to topologically incorrect protein"
"180","GO:0036296",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to increased oxygen levels"
"181","GO:0036376",302,"directed movement","transported substances",0.0392395837821326,"sodium ion export across plasma membrane"
"182","GO:0036503",112,"er membrane","cytoplasmic proteasome \ er resident",0.695500714767525,"ERAD pathway"
"183","GO:0040017",226,"cell communication","signaling process",0.000190880884754652,"positive regulation of locomotion"
"184","GO:0042176",383,"lipid storage","protein occurring",0.000596617875435631,"regulation of protein catabolic process"
"185","GO:0042221",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to chemical"
"186","GO:0042325",121,"lipoprotein particle","protein serine",0.146901336387339,"regulation of phosphorylation"
"187","GO:0042326",158,"genes involved \ regulation process \ specific genes \ transcription regulation","donor compound",0.0782146432667225,"negative regulation of phosphorylation"
"188","GO:0042407",325,"nuclear envelope","inwards folds",0.640741459046713,"cristae formation"
"189","GO:0042455",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"ribonucleoside biosynthetic process"
"190","GO:0042493",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to drug"
"191","GO:0042776",302,"directed movement","transported substances",0.0392395837821326,"mitochondrial ATP synthesis coupled proton transport"
"192","GO:0042816",103,"aromatic hydrocarbon","active form \ b6 compounds \ combined nicotinamide \ compounds pyridoxal \ form pyridoxal \ nicotinamide nucleotides \ pyridoxal phosphate \ pyridoxal pyridoxamine \ vitamin b6",0.355222435342262,"vitamin B6 metabolic process"
"193","GO:0042886",32,"protein amino","acid residue \ nitrogen atom \ phosphoric amide \ phosphoric anhydride \ phosphoric ester",0.263501486736478,"amide transport"
"194","GO:0042981",284,"cell proliferation","cell death",1.28063832886028e-05,"regulation of apoptotic process"
"195","GO:0043043",14,"compound consisting \ sugar esterified","ribose sugar",1.24555903350394e-07,"peptide biosynthetic process"
"196","GO:0043062",178,"cellular level","cellular level",0.00458620014973849,"extracellular structure organization"
"197","GO:0043066",246,"stops prevents","apoptotic process",0.93961387598558,"negative regulation of apoptotic process"
"198","GO:0043067",284,"cell proliferation","cell death",1.28063832886028e-05,"regulation of programmed cell death"
"199","GO:0043069",221,"stops prevents","stops prevents",0.0112523145956755,"negative regulation of programmed cell death"
"200","GO:0043085",158,"genes involved \ regulation process \ specific genes \ transcription regulation","donor compound",0.0782146432667225,"positive regulation of catalytic activity"
"201","GO:0043161",367,"residues polyadenylation","bonds initiated \ covalent attachment",0.000406105537408326,"proteasome-mediated ubiquitin-dependent protein catabolic process"
"202","GO:0043170",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"macromolecule metabolic process"
"203","GO:0043200",34,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",7.06183319452132e-05,"response to amino acid"
"204","GO:0043299",339,"soluble factor","immune response",0.0314382786118358,"leukocyte degranulation"
"205","GO:0043312",368,"endoplasmic reticulum","inflammatory mediators \ preformed mediators \ proteases lipases",0.853784418217734,"neutrophil degranulation"
"206","GO:0043412",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"macromolecule modification"
"207","GO:0043588",55,"mature structure","mature structure",0.158302393351661,"skin development"
"208","GO:0043603",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"cellular amide metabolic process"
"209","GO:0043604",175,"carbon atoms","acids organic \ amino substituents \ carbon atom \ saturated carbon",0.29949342536181,"amide biosynthetic process"
"210","GO:0043624",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"cellular protein complex disassembly"
"211","GO:0043632",377,"2 amino","molecular mass \ relative molecular",0.0573373862089096,"modification-dependent macromolecule catabolic process"
"212","GO:0043648",103,"aromatic hydrocarbon","active form \ b6 compounds \ combined nicotinamide \ compounds pyridoxal \ form pyridoxal \ nicotinamide nucleotides \ pyridoxal phosphate \ pyridoxal pyridoxamine \ vitamin b6",0.355222435342262,"dicarboxylic acid metabolic process"
"213","GO:0043649",109,"compounds including","carboxyl cooh \ organic acid",0.898549649979481,"dicarboxylic acid catabolic process"
"214","GO:0043650",196,"2 amino","deoxy erythro \ deoxyribose phosphate \ erythro pentose \ phosphorylated sugar \ sugar 2",0.959947437602717,"dicarboxylic acid biosynthetic process"
"215","GO:0043687",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"post-translational protein modification"
"216","GO:0043933",351,"macromolecular structure","correct tertiary \ protein oligomers \ tertiary structure",1.03145085813416e-11,"protein-containing complex subunit organization"
"217","GO:0044085",6,"constituent macromolecules","constituent macromolecules",0.275573954151456,"cellular component biogenesis"
"218","GO:0044093",383,"lipid storage","protein occurring",0.000596617875435631,"positive regulation of molecular function"
"219","GO:0044237",78,"living organisms","individual cells",6.38016900003869e-08,"cellular metabolic process"
"220","GO:0044238",78,"living organisms","individual cells",6.38016900003869e-08,"primary metabolic process"
"221","GO:0044248",78,"living organisms","individual cells",6.38016900003869e-08,"cellular catabolic process"
"222","GO:0044257",78,"living organisms","individual cells",6.38016900003869e-08,"cellular protein catabolic process"
"223","GO:0044260",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"cellular macromolecule metabolic process"
"224","GO:0044265",377,"2 amino","molecular mass \ relative molecular",0.0573373862089096,"cellular macromolecule catabolic process"
"225","GO:0044267",78,"living organisms","individual cells",6.38016900003869e-08,"cellular protein metabolic process"
"226","GO:0044281",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"small molecule metabolic process"
"227","GO:0044282",248,"individual cells","molecular mass \ relative molecular",1.18466878074396e-10,"small molecule catabolic process"
"228","GO:0044283",175,"carbon atoms","acids organic \ amino substituents \ carbon atom \ saturated carbon",0.29949342536181,"small molecule biosynthetic process"
"229","GO:0044403",189,"symbiotic interaction","symbiotic interaction",0.938652115181904,"symbiont process"
"230","GO:0044860",320,"specific location","membrane raft \ protein transports",0.390889907551049,"protein localization to plasma membrane raft"
"231","GO:0045055",367,"residues polyadenylation","bonds initiated \ covalent attachment",0.000406105537408326,"regulated exocytosis"
"232","GO:0045184",320,"specific location","membrane raft \ protein transports",0.390889907551049,"establishment of protein localization"
"233","GO:0045321",339,"soluble factor","immune response",0.0314382786118358,"leukocyte activation"
