,,,GSE21935_Barnes_FSCZvsCTL,GSE21935_Barnes_MSCZvsCTL,GSE17612_Maycox_FSCZvsCTL,GSE17612_Maycox_MSCZvsCTL,GSE46509_Piet_FSCZvsCTL,GSE46509_Piet_MSCZvsCTL,GSE37981_Piet_FSCZvsCTL,GSE37981_Piet_MSCZvsCTL,female_scz_ancg_dge,female_scz_dlpfc_dge,female_scz_nacc_dge,male_scz_ancg_dge,male_scz_dlpfc_dge,male_scz_nAcc_dge
POSITIVE REGULATION OF PROTEIN KINASE B SIGNALING,GOBP,GO:0051897,0,0,1.998773663,0,0,0,0,2.482618027,15.04493789,4.916467822,7.664585293,20.13469495,8.660215666,1.345701154
REGULATION OF EPITHELIAL CELL DIFFERENTIATION,GOBP,GO:0030856,0,0,0,1.819105645,0,1.799476911,0,0,3.879855299,2.962512567,2.615282542,9.06660994,1.971835399,2.613216742
CARDIAC SEPTUM DEVELOPMENT,GOBP,GO:0003279,0,0,0,1.669856702,2.058642981,1.906346012,0,1.635752909,5.143009321,0,1.561183717,4.57780578,2.399237097,0
NEGATIVE REGULATION OF CELL ADHESION,GOBP,GO:0007162,0,2.275690113,4.552076665,0,0,1.795618306,0,0,12.1544993,3.748261897,0,12.79794542,3.273926948,4.056628893
ACTIVATION OF PROTEIN KINASE ACTIVITY,GOBP,GO:0032147,0,2.596036416,0,1.687345484,0,0,0,0,21.81173159,3.421730022,11.97274562,47.28817879,15.96164408,10.7033497
REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE SIGNALING,GOBP,GO:0014066,0,1.41177549,2.040878043,0,0,0,0,1.348100609,9.82697513,0,1.813785134,14.04852012,9.077878403,3.311422115
REGULATION OF EPITHELIAL CELL MIGRATION,GOBP,GO:0010632,0,0,1.676505702,0,0,1.422214624,0,0,15.43208822,5.310088917,1.700152451,31.96458185,6.864280353,2.876515713
PEPTIDYL-TYROSINE PHOSPHORYLATION,GOBP,GO:0018108,0,1.41718998,0,0,1.601555475,0,0,0,12.80375554,2.010665451,9.497753366,19.50084154,3.898801249,3.285662744
MEMBRANE MICRODOMAIN,GOCC,GO:0098857,0,2.944681483,3.081532711,0,0,0,0,0,8.438572494,1.793829929,2.695445978,19.93617849,7.886862495,3.294493989
CELL LEADING EDGE,GOCC,GO:0031252,1.327221872,1.502874285,0,0,0,1.433923133,0,0,10.44428925,0,4.966970325,23.17092448,5.544986761,7.037148015
MEMBRANE RAFT,GOCC,GO:0045121,0,2.944681483,3.081532711,0,0,0,0,0,8.438572494,1.793829929,2.695445978,19.93617849,7.886862495,3.294493989
MEMBRANE REGION,GOCC,GO:0098589,0,2.599921689,2.754283252,0,0,0,0,0,8.074810408,1.737916667,2.564411661,20.34103969,7.581617544,3.112393375
TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE ACTIVITY,GOMF,GO:0004714,0,0,0,0,2.970603436,0,1.619929359,0,14.28684263,2.192413948,8.358655733,23.35130644,6.073224949,2.54353151
PROTEIN TYROSINE KINASE ACTIVITY,GOMF,GO:0004713,0,0,0,0,2.509831306,0,1.918033588,0,15.32917774,2.076305177,8.824417226,22.38362742,5.622603613,3.477256378
TRANSMEMBRANE RECEPTOR PROTEIN KINASE ACTIVITY,GOMF,GO:0019199,0,0,0,0,2.321920463,0,1.757483613,0,15.88979661,3.027429916,9.581671102,27.32928043,7.068835981,2.179316037
GROWTH FACTOR BINDING,GOMF,GO:0019838,0,1.359956771,0,0,2.111350294,0,0,0,13.26773157,4.203845031,5.097383627,16.86314098,4.811477855,1.751129891
REGULATION OF STRESS-ACTIVATED PROTEIN KINASE SIGNALING CASCADE,GOBP,GO:0070302,0,2.722079153,0,0,0,0,0,0,17.1740176,3.234140257,15.27407376,37.46894078,11.70540783,5.124677091
EMBRYONIC ORGAN DEVELOPMENT,GOBP,GO:0048568,0,0,0,2.236633158,2.231115568,0,0,0,4.35559998,1.463440274,3.827224145,5.722821361,1.829787485,0
REGULATION OF ERBB SIGNALING PATHWAY,GOBP,GO:1901184,0,0,3.121939025,0,0,0,0,0,13.71968399,1.479434813,2.977798395,20.33755874,8.42225561,5.704226624
NEGATIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY,GOBP,GO:2001234,0,2.252975367,0,0,0,0,0,0,2.073951001,1.571658289,3.518485842,12.39747195,5.002900568,1.647895742
INTERLEUKIN-6-MEDIATED SIGNALING PATHWAY,GOBP,GO:0070102,0,0,0,0,1.747004674,0,1.664817139,1.72288418,0,0,1.714737417,2.754004736,2.572352198,1.351268368
POSITIVE REGULATION OF CARDIAC MUSCLE CELL PROLIFERATION,GOBP,GO:0060045,0,0,0,1.449091306,2.126115076,0,1.370370695,0,1.931349419,0,2.655070769,2.340847098,1.33040537,0
REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE,GOBP,GO:0002718,0,0,2.022383556,0,0,0,0,0,2.368584354,1.504705106,3.889981468,5.971425139,1.794281328,2.720066013
BRANCHING MORPHOGENESIS OF AN EPITHELIAL TUBE,GOBP,GO:0048754,1.54510498,0,0,2.332831838,3.632056441,0,0,0,6.336228067,4.504274446,0,11.52124943,4.610624705,0
REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY,GOBP,GO:0051090,0,0,3.684239569,0,0,0,0,0,16.96330433,3.577553987,8.680806602,31.90748329,7.052101601,7.915070812
CELLULAR RESPONSE TO LIPID,GOBP,GO:0071396,0,0,2.134141573,0,0,0,0,0,10.18929289,1.901752558,6.619734562,15.6917715,8.736064362,3.210023879
CELL PROLIFERATION,GOBP,GO:0008283,0,0,0,0,0,0,1.690261733,0,7.346486032,4.161242841,6.012943851,24.72497234,7.511710052,1.790045464
LYMPHOCYTE ACTIVATION,GOBP,GO:0046649,0,0,4.524889053,0,0,0,0,0,10.8646412,2.285700632,3.188116141,9.575453238,5.585725609,3.064868277
AGING,GOBP,GO:0007568,0,0,1.74960917,0,0,2.288208628,0,0,5.404813039,3.00807584,4.852586724,6.858445685,0,2.013318801
CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS,GOBP,GO:0071560,0,0,0,0,1.766787405,1.746423262,0,0,12.42709207,1.963989754,9.253741697,25.13678536,8.50067406,0
TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY,GOBP,GO:0007179,0,0,0,0,0,1.918264772,0,0,8.960908241,1.408558535,7.26422232,21.89443953,6.062461861,1.311057248
HEART VALVE DEVELOPMENT,GOBP,GO:0003170,0,0,1.383757135,2.551012608,1.58196765,0,0,0,1.944876086,0,3.054976485,8.030589209,2.528003723,0
MESENCHYMAL CELL DIFFERENTIATION,GOBP,GO:0048762,0,0,0,1.912859878,1.909644786,0,0,0,7.793523129,1.912053705,5.394304729,11.10707047,4.277120163,0
REGULATION OF BLOOD CIRCULATION,GOBP,GO:1903522,0,0,0,1.490056209,0,0,1.922025996,0,2.91694808,0,1.301022654,10.57971091,3.303270472,1.779287261
RESPONSE TO OXYGEN LEVELS,GOBP,GO:0070482,0,0,0,1.436315712,0,0,0,0,7.944428914,2.329777245,6.97132153,21.01828251,18.58005829,4.108415967
REGULATION OF MUSCLE SYSTEM PROCESS,GOBP,GO:0090257,0,0,0,1.937515819,0,0,1.43346387,0,3.341600513,0,2.228121991,13.81601144,2.008051714,2.420893435
EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,GOBP,GO:0007173,0,0,0,0,2.065671433,0,0,0,7.982853314,3.327253718,4.494821186,5.887815102,2.906842764,1.808398601
REGULATION OF CELL SHAPE,GOBP,GO:0008360,0,2.439437952,0,0,0,0,0,2.338822677,8.237294263,1.98706744,0,9.136982822,3.164645329,2.094384511
CELLULAR RESPONSE TO EPIDERMAL GROWTH FACTOR STIMULUS,GOBP,GO:0071364,0,0,0,0,0,0,0,1.490623124,3.547872002,3.577626542,2.802334698,7.928963887,3.29767414,1.351129784
REGULATION OF ENDOTHELIAL CELL DIFFERENTIATION,GOBP,GO:0045601,0,0,1.353247069,1.30464155,0,0,0,1.461061025,1.393015086,0,2.076327504,7.035685534,0,1.553612916
REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION,GOBP,GO:0048660,0,0,1.485106307,0,0,0,0,0,6.82186457,3.228539803,3.024679502,10.87690483,6.859359632,2.501742529
REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS,GOBP,GO:1902041,0,2.424757253,0,1.341068211,0,0,0,0,2.095628924,0,1.509073543,8.648391801,4.507974848,2.359330153
NEGATIVE REGULATION OF EPITHELIAL CELL PROLIFERATION,GOBP,GO:0050680,0,2.666551689,1.717221402,0,1.316766761,0,0,0,6.380540999,0,0,5.436557651,2.502683409,4.726185047
ANGIOGENESIS,GOBP,GO:0001525,0,0,0,1.452047138,2.148094196,0,0,0,21.64005185,3.517336092,5.293460717,17.87855221,6.946985937,0
CARDIAC VENTRICLE DEVELOPMENT,GOBP,GO:0003231,0,0,0,1.86145785,0,1.350544258,0,1.899041527,3.727045765,1.351007019,4.18077905,3.652122772,0,0
REGULATION OF ANIMAL ORGAN MORPHOGENESIS,GOBP,GO:2000027,0,0,0,1.644174259,0,0,0,0,8.468892827,3.133612902,3.175766502,14.07414104,7.995182392,2.67353602
MAPK CASCADE,GOBP,GO:0000165,0,0,0,0,1.615133558,0,0,0,10.88478455,4.653068116,6.44584619,46.86748776,11.80704588,4.617602195
CELL PROJECTION MORPHOGENESIS,GOBP,GO:0048858,0,2.515755419,0,0,0,0,0,0,14.96596615,5.834671638,3.60217196,21.8093164,4.035739939,1.385116759
RESPONSE TO INTERFERON-GAMMA,GOBP,GO:0034341,0,0,1.86177749,0,1.546034662,0,1.347837626,0,5.073189045,2.719519147,0,8.087746744,2.68225374,0
REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY,GOBP,GO:0090092,0,0,0,1.951555485,0,0,0,0,19.48270391,3.046327704,6.398599643,40.88927868,22.24212165,3.49771043
NEGATIVE REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS,GOBP,GO:0090288,0,0,0,0,0,1.583039775,0,0,21.09571036,2.76493894,6.779287908,33.22522318,18.59781704,3.355344385
REGULATION OF LEUKOCYTE PROLIFERATION,GOBP,GO:0070663,0,0,2.1357689,0,0,0,0,0,8.503903173,4.115471348,3.811876522,4.347774736,2.309879279,2.688563084
MESENCHYME DEVELOPMENT,GOBP,GO:0060485,0,0,0,2.634745383,2.630173996,0,0,0,7.719624919,3.295567701,4.112529925,9.662200043,3.65863815,0
SALIVARY GLAND MORPHOGENESIS,GOBP,GO:0007435,0,0,2.714308837,0,0,0,0,0,3.744345452,2.602775042,1.44604961,6.688124922,3.224531401,2.937622896
AXIS ELONGATION,GOBP,GO:0003401,0,0,2.129548616,1.961313483,1.32525323,0,0,0,1.826606089,0,1.478880437,2.951000424,3.294846539,0
RESPONSE TO HYPOXIA,GOBP,GO:0001666,0,0,0,1.564592042,0,0,0,0,5.964892318,2.531239835,6.281728046,20.39497296,16.53088682,3.725961059
PEPTIDYL-SERINE PHOSPHORYLATION,GOBP,GO:0018105,0,0,0,0,0,1.664028812,0,0,8.544676929,4.804291554,4.182295232,37.03330617,4.509254551,4.402019576
ACTIVATION OF MAPK ACTIVITY,GOBP,GO:0000187,0,1.500842537,0,0,0,0,0,0,8.915560554,1.963989754,7.344849104,23.25335081,13.31405466,5.124901211
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS,GOBP,GO:0043280,0,2.061621036,2.191269058,0,0,1.347320348,0,0,2.516102131,0,0,6.337322129,2.225333664,2.946755798
