,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,female_ancg_dge,female_dlpfc_dge,female_nacc_dge,male_ancg_dge,male_dlpfc_dge,male_nAcc_dge
T CELL ACTIVATION,GOBP,GO:0042110,1.598574935,2.667783272,1.308662237,1.303604146,1.720708057,0,1.323760596,0,0,0
CELLULAR RESPONSE TO ENVIRONMENTAL STIMULUS,GOBP,GO:0104004,0,0,3.476358699,0,0,1.339127918,1.459663565,3.310296064,5.587151238,1.568739562
DNA DAMAGE CHECKPOINT,GOBP,GO:0000077,0,2.164275631,2.319404221,0,2.113093998,2.773403288,0,2.540449735,1.483871586,0
NEGATIVE REGULATION OF CELL CYCLE PHASE TRANSITION,GOBP,GO:1901988,0,1.829121352,2.10656718,0,1.704272019,6.537584947,0,5.442143185,0,3.429805111
RESPONSE TO IONIZING RADIATION,GOBP,GO:0010212,0,1.563510047,1.738789208,0,0,1.886037585,0,2.360276724,1.863095566,1.741061373
REGULATION OF CELLULAR KETONE METABOLIC PROCESS,GOBP,GO:0010565,3.353315495,2.240132145,0,0,2.218864615,1.55723875,0,3.03050613,1.822757057,0
CELLULAR RESPONSE TO ABIOTIC STIMULUS,GOBP,GO:0071214,0,0,3.476358699,0,0,1.339127918,1.459663565,3.310296064,5.587151238,1.568739562
NEGATIVE REGULATION OF CELL CYCLE G1/S PHASE TRANSITION,GOBP,GO:1902807,0,2.349251418,2.915713193,0,0,6.502567883,0,3.416840452,1.432769223,3.172590667
"REGULATION OF DNA-TEMPLATED TRANSCRIPTION, INITIATION",GOBP,GO:2000142,0,0,1.331441345,2.107641397,1.382989137,0,1.870064324,2.785927814,0,1.867272913
BLOOD VESSEL MORPHOGENESIS,GOBP,GO:0048514,2.430181961,1.945187249,0,0,0,3.015185648,0,1.491646139,2.703606427,1.946760373
REGULATION OF FATTY ACID BIOSYNTHETIC PROCESS,GOBP,GO:0042304,1.601965019,1.55157572,0,0,2.072401877,1.459361876,0,1.491065565,3.806125798,0
REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE,GOBP,GO:2000045,0,2.429563553,3.256483996,0,0,6.414993311,0,3.339050945,1.817516818,3.226161975
CELLULAR RESPONSE TO NUTRIENT LEVELS,GOBP,GO:0031669,0,0,5.171398243,1.365605151,0,2.196083646,0,3.736186432,4.751681317,1.729376584
CARDIOVASCULAR SYSTEM DEVELOPMENT,GOBP,GO:0072358,2.344733011,1.87930727,0,0,0,2.370600663,0,1.44110952,2.86433103,2.558863287
RESPONSE TO GAMMA RADIATION,GOBP,GO:0010332,0,1.356469985,1.905181798,0,0,1.347496857,1.407783643,2.587989263,0,2.854783527
RESPONSE TO DECREASED OXYGEN LEVELS,GOBP,GO:0036293,0,2.576558484,2.151734514,0,0,1.654672568,0,3.530854082,4.356688054,1.531716586
NEGATIVE REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE,GOBP,GO:2000134,0,2.401032692,2.995614657,0,0,6.568525736,0,3.485746438,1.463972148,3.234719529
POSITIVE REGULATION OF CELLULAR CATABOLIC PROCESS,GOBP,GO:0031331,1.737355067,0,4.380199917,1.716759123,0,0,0,6.046912509,3.504720773,4.169496749
REGULATION OF MRNA METABOLIC PROCESS,GOBP,GO:1903311,1.44807193,0,4.140591727,2.754967786,0,0,0,3.203807231,1.409945769,4.354259641
NEGATIVE REGULATION OF MITOTIC CELL CYCLE,GOBP,GO:0045930,0,1.445890006,1.856008133,1.373668755,0,5.528727127,0,4.928590196,0,3.704959839
POSITIVE REGULATION OF CELL CYCLE ARREST,GOBP,GO:0071158,0,2.460394714,2.41593026,0,1.463786659,3.849260638,0,2.356126607,0,1.452613452
REGULATION OF METAL ION TRANSPORT,GOBP,GO:0010959,1.550184945,0,2.18530064,0,1.582501868,1.911590421,0,1.545949758,1.338537545,0
REGULATION OF CELL CYCLE G1/S PHASE TRANSITION,GOBP,GO:1902806,0,2.078011003,2.690280597,0,0,5.987110399,0,3.971796086,1.570309984,3.927870912
BASOLATERAL PLASMA MEMBRANE,GOCC,GO:0016323,2.164572682,0,1.350855118,0,2.737823053,3.760925381,0,2.676268649,2.348936458,0
APICAL PART OF CELL,GOCC,GO:0045177,1.833193318,2.628395357,2.453877314,0,0,1.740642875,1.415946314,0,1.413996754,0
"DNA-BINDING TRANSCRIPTION ACTIVATOR ACTIVITY, RNA POLYMERASE II-SPECIFIC",GOMF,GO:0001228,0,3.857906427,2.167701631,3.067065132,0,2.144501144,4.227284642,2.191667333,0,0
REGULATION OF HEMOPOIESIS,GOBP,GO:1903706,2.024255199,0,0,0,0,0,1.703400526,2.560218827,1.421485561,2.885682967
EMBRYONIC ORGAN DEVELOPMENT,GOBP,GO:0048568,1.609833124,1.480658484,0,0,0,1.309954709,0,0,1.463164686,1.764383573
CELL AGING,GOBP,GO:0007569,0,0,2.592830129,0,0,2.138679706,0,2.246094058,1.611072468,2.503091969
REGULATION OF GENERATION OF PRECURSOR METABOLITES AND ENERGY,GOBP,GO:0043467,0,0,2.06517623,2.251655774,0,0,0,4.721770151,2.128019463,5.350024935
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ORGANELLE,GOBP,GO:0072594,1.328677733,0,2.546203042,1.870356411,0,0,0,3.669352241,0,21.77055914
REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY,GOBP,GO:0051090,0,1.374220484,0,0,0,0,1.390887635,3.013075438,2.011435194,2.964229593
AGING,GOBP,GO:0007568,1.639948218,0,1.421474525,0,0,0,0,1.410636124,1.775531984,1.764810469
CELLULAR RESPONSE TO OXYGEN LEVELS,GOBP,GO:0071453,0,1.740362045,2.925813016,0,0,0,0,3.312043809,2.33104242,2.395595016
SECONDARY ALCOHOL METABOLIC PROCESS,GOBP,GO:1902652,0,0,1.481607596,0,1.582124571,1.356305546,1.439501879,0,1.642338977,0
REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY,GOBP,GO:0000079,0,0,1.380198128,0,3.581498797,4.435397277,0,1.369456409,0,1.589495687
CELLULAR RESPONSE TO DECREASED OXYGEN LEVELS,GOBP,GO:0036294,0,1.609873294,2.647819144,0,0,0,0,2.286662808,2.104308036,2.711892372
REGULATION OF WNT SIGNALING PATHWAY,GOBP,GO:0030111,1.817738731,2.688355903,3.255162711,3.274796609,0,0,0,0,0,1.364994898
SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION,GOBP,GO:0007264,1.985944665,0,1.407061828,1.741166827,0,0,0,2.078337859,1.764949344,0
"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR",GOBP,GO:0030330,0,3.966377058,3.679650401,0,0,5.07656262,0,3.109093491,1.349717082,0
SIGNAL TRANSDUCTION INVOLVED IN MITOTIC DNA INTEGRITY CHECKPOINT,GOBP,GO:1902403,0,2.560407128,2.910177696,0,0,4.543096974,0,2.466126303,0,1.385900797
REGULATION OF CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0006109,0,0,1.470299935,2.012725145,1.963660543,0,0,3.489789012,0,4.635960386
CELLULAR RESPONSE TO ORGANIC CYCLIC COMPOUND,GOBP,GO:0071407,0,0,1.550075996,0,0,0,1.918678921,3.892496211,3.265788014,1.719080386
PEPTIDYL-SERINE PHOSPHORYLATION,GOBP,GO:0018105,0,2.685163137,4.790182422,2.368379756,0,0,0,0,1.809546108,1.59655848
MITOCHONDRIAL TRANSLATION,GOBP,GO:0032543,0,2.155512605,4.708305341,2.087376427,0,0,0,2.578556733,0,4.249853496
NEGATIVE REGULATION OF PHOSPHORYLATION,GOBP,GO:0042326,0,1.95103619,1.35802893,1.303239745,0,3.181565689,0,0,1.789403669,0
NEUROTRANSMITTER UPTAKE,GOBP,GO:0001504,1.881121999,1.828369265,1.479306115,0,0,0,0,1.764882271,1.52645411,0
POSITIVE REGULATION OF WNT SIGNALING PATHWAY,GOBP,GO:0030177,0,2.746347359,1.650705433,1.943479998,0,0,0,1.723996155,0,2.062970004
MITOCHONDRIAL TRANSLATIONAL ELONGATION,GOBP,GO:0070125,0,2.146008768,4.72933751,1.432346869,0,0,0,2.625796312,0,3.644942229
SIGNAL TRANSDUCTION INVOLVED IN DNA DAMAGE CHECKPOINT,GOBP,GO:0072422,0,2.081708784,3.350386428,0,3.351327495,4.073208167,0,3.31160787,0,0
GLAND DEVELOPMENT,GOBP,GO:0048732,3.670766307,3.063420777,1.721453691,2.162247776,0,2.467652991,0,0,0,0
RNA SPLICING,GOBP,GO:0008380,1.397769733,2.805240677,4.562296867,1.365566188,0,0,0,0,0,3.632281227
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS,GOBP,GO:0022613,0,1.85238737,2.1074093,0,1.425375048,0,0,2.83136125,0,16.99688527
TRANSLATIONAL TERMINATION,GOBP,GO:0006415,0,1.466292647,3.750966077,1.313896685,0,0,0,2.421199496,0,3.397446189
SIGNAL TRANSDUCTION INVOLVED IN DNA INTEGRITY CHECKPOINT,GOBP,GO:0072401,0,2.081708784,3.350386428,0,3.351327495,4.073208167,0,3.31160787,0,0
SIGNAL TRANSDUCTION INVOLVED IN MITOTIC G1 DNA DAMAGE CHECKPOINT,GOBP,GO:0072431,0,2.560407128,2.910177696,0,0,4.543096974,0,2.466126303,0,1.385900797
NUCLEOBASE-CONTAINING COMPOUND CATABOLIC PROCESS,GOBP,GO:0034655,0,2.702858717,2.550547755,0,1.440041358,0,0,8.292664961,0,18.67228058
REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION,GOBP,GO:1901990,0,1.765888709,2.583475176,0,0,6.400198809,0,4.844729056,0,2.083293824
POSITIVE REGULATION OF SMALL MOLECULE METABOLIC PROCESS,GOBP,GO:0062013,2.51957368,2.408337483,0,0,2.651833474,0,0,3.312047834,0,1.676407202
INTERACTION WITH HOST,GOBP,GO:0051701,2.374083519,2.2580423,3.920842482,1.499276132,0,0,0,1.708796743,0,0
REGULATION OF APOPTOTIC SIGNALING PATHWAY,GOBP,GO:2001233,0,0,3.493933275,0,0,1.460906787,0,4.576605708,2.463607681,3.209433388
CELLULAR RESPONSE TO AMINO ACID STARVATION,GOBP,GO:0034198,0,0,4.009297546,0,1.436037713,0,0,1.727324372,1.852522508,1.965076973
G1/S TRANSITION OF MITOTIC CELL CYCLE,GOBP,GO:0000082,0,0,3.078003491,0,0,1.594474348,2.550076906,2.339750399,2.069133338,0
RESPONSE TO OXIDATIVE STRESS,GOBP,GO:0006979,0,0,3.753560542,0,0,0,1.587637542,1.892222663,2.051995839,4.007734875
POSITIVE REGULATION OF LIPID BIOSYNTHETIC PROCESS,GOBP,GO:0046889,1.809794597,1.739987655,0,1.544837012,2.1550257,0,1.884019328,0,0,0
PEPTIDYL-SERINE MODIFICATION,GOBP,GO:0018209,0,2.707736448,4.869589521,2.012725145,0,0,0,0,1.533635852,2.087474322
CELLULAR COMPONENT DISASSEMBLY,GOBP,GO:0022411,0,0,2.983558882,1.984453934,0,1.818391993,0,2.259291459,0,1.545941983
REPRODUCTIVE SYSTEM DEVELOPMENT,GOBP,GO:0061458,0,1.352776324,0,0,0,2.401060149,2.60628453,3.052148681,2.279618251,0
IN UTERO EMBRYONIC DEVELOPMENT,GOBP,GO:0001701,0,0,1.79576315,1.687822757,0,2.270347869,0,0,1.449416952,2.307821942
CELLULAR RESPONSE TO HYPOXIA,GOBP,GO:0071456,0,1.34893533,2.483331057,0,0,0,0,2.432755943,2.220247012,2.86723269
SIGNAL TRANSDUCTION INVOLVED IN MITOTIC CELL CYCLE CHECKPOINT,GOBP,GO:0072413,0,2.482951454,2.799164946,0,0,4.468499643,0,2.389486073,0,1.338737691
CELLULAR RESPONSE TO STARVATION,GOBP,GO:0009267,0,0,4.885731157,1.358414811,0,0,0,3.802063754,5.775302557,1.861604037
MRNA 3'-END PROCESSING,GOBP,GO:0031124,0,1.627839692,5.445270271,0,0,0,0,1.546330544,1.689862706,1.775688702
NEGATIVE REGULATION OF PROTEIN COMPLEX ASSEMBLY,GOBP,GO:0031333,1.69450879,1.611848555,2.179749374,2.08236897,0,0,0,0,0,1.791411471
POSITIVE REGULATION OF CATABOLIC PROCESS,GOBP,GO:0009896,0,0,3.985208448,1.507840707,0,0,0,6.626927486,3.174127737,3.636444138
RESPONSE TO CORTICOSTEROID,GOBP,GO:0031960,1.492075073,0,0,0,0,0,2.680212604,1.71586318,3.394620982,2.030810686
INTRACELLULAR SIGNAL TRANSDUCTION INVOLVED IN G1 DNA DAMAGE CHECKPOINT,GOBP,GO:1902400,0,2.560407128,2.910177696,0,0,4.543096974,0,2.466126303,0,1.385900797
MITOCHONDRIAL TRANSLATIONAL TERMINATION,GOBP,GO:0070126,0,1.627839692,4.168224325,1.450348275,0,0,0,2.656830589,0,3.682363877
NEGATIVE REGULATION OF FATTY ACID METABOLIC PROCESS,GOBP,GO:0045922,2.355630019,0,0,0,1.573560346,1.864602609,0,3.134860967,3.915020605,0
REPLICATIVE SENESCENCE,GOBP,GO:0090399,0,0,2.230020988,0,0,2.341275844,0,4.373848003,1.493228863,3.375427344
"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR RESULTING IN CELL CYCLE ARREST",GOBP,GO:0006977,0,2.600480993,2.96782489,0,0,4.581501285,0,2.505791642,0,1.410339129
REGULATION OF CELL CYCLE PHASE TRANSITION,GOBP,GO:1901987,0,1.714993488,2.278733135,0,0,5.967144886,0,5.966468938,0,2.697329955
SIGNAL TRANSDUCTION INVOLVED IN MITOTIC DNA DAMAGE CHECKPOINT,GOBP,GO:1902402,0,2.560407128,2.910177696,0,0,4.543096974,0,2.466126303,0,1.385900797
REGULATION OF MRNA CATABOLIC PROCESS,GOBP,GO:0061013,0,0,2.223451805,1.502521154,0,0,0,3.812739057,1.448857319,3.876050135
MITOCHONDRIAL GENE EXPRESSION,GOBP,GO:0140053,0,3.050071614,4.383721907,2.57715913,0,0,0,2.381966586,0,5.259581684
REGULATION OF CANONICAL WNT SIGNALING PATHWAY,GOBP,GO:0060828,1.694097386,2.280710819,2.676795518,3.583854091,0,0,0,0,0,1.490214
REGULATION OF PROTEIN BINDING,GOBP,GO:0043393,1.58496814,0,1.487171939,0,1.422592754,0,0,1.382803753,0,1.325505181
CELL CYCLE G1/S PHASE TRANSITION,GOBP,GO:0044843,0,0,2.995614657,0,0,1.572102294,2.518713156,2.287353743,2.028395625,0
CELLULAR RESPONSE TO RADIATION,GOBP,GO:0071478,0,1.519193898,2.08517539,0,0,0,0,2.692411463,3.57258963,1.709182514
CELL CYCLE CHECKPOINT,GOBP,GO:0000075,0,1.411939066,1.592979818,0,1.607508361,4.68851148,0,3.008220215,0,0
SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR,GOBP,GO:0072331,0,3.811055931,2.941217968,0,0,4.021541832,0,4.979880151,1.770847518,0
CHOLESTEROL METABOLIC PROCESS,GOBP,GO:0008203,0,0,1.573232436,0,1.628268069,1.391892165,1.475660575,0,1.705076645,0
INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE,GOBP,GO:0008630,0,2.204671278,2.968875989,0,2.50968444,0,0,4.262202881,2.94871771,0
"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR RESULTING IN TRANSCRIPTION OF P21 CLASS MEDIATOR",GOBP,GO:0006978,0,1.387365162,1.666463967,0,0,2.522932708,0,2.372590033,2.8544121,0
RESPONSE TO AMINO ACID STARVATION,GOBP,GO:1990928,0,0,3.841624875,0,1.395957748,0,0,1.656523623,2.439489621,1.89111638
NEGATIVE REGULATION OF NERVOUS SYSTEM DEVELOPMENT,GOBP,GO:0051961,3.265682645,0,2.366873576,0,0,0,1.59125086,1.449886745,1.910568484,0
INTRINSIC APOPTOTIC SIGNALING PATHWAY,GOBP,GO:0097193,0,1.532174537,2.848710257,0,1.367961399,0,0,3.366320452,1.832558154,0
TRANSLATIONAL ELONGATION,GOBP,GO:0006414,0,1.980861687,4.310081796,1.433527915,0,0,0,2.376204155,0,3.32915051
MULTI-MULTICELLULAR ORGANISM PROCESS,GOBP,GO:0044706,0,1.665217458,0,0,1.5283196,4.536456812,1.588737228,0,3.225284154,0
POSITIVE REGULATION OF LIPID METABOLIC PROCESS,GOBP,GO:0045834,2.51957368,1.932474001,0,1.495770542,4.229259517,0,1.958181897,0,0,0
NEURON APOPTOTIC PROCESS,GOBP,GO:0051402,1.571472545,1.521375653,2.808901002,0,0,0,0,2.118848094,2.01671008,0
SIGNAL TRANSDUCTION INVOLVED IN CELL CYCLE CHECKPOINT,GOBP,GO:0072395,0,1.995517486,3.190724381,0,3.267091426,3.9860502,0,3.18792222,0,0
POSITIVE REGULATION OF CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0045913,1.907865291,2.429387617,0,0,1.44980576,0,0,2.959430899,0,2.616601077
NEGATIVE REGULATION OF BINDING,GOBP,GO:0051100,0,1.680966414,1.352416747,0,0,1.705465175,0,1.573297298,0,2.344665096
"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION RESULTING IN TRANSCRIPTION",GOBP,GO:0042772,0,1.327561213,1.577084143,0,0,2.457796749,0,2.276338928,2.755412598,0
MODIFICATION OF MORPHOLOGY OR PHYSIOLOGY OF OTHER ORGANISM INVOLVED IN SYMBIOTIC INTERACTION,GOBP,GO:0051817,1.390874784,1.749122229,1.313951069,0,0,0,0,2.107112224,0,1.934083294
REGULATION OF TRANSCRIPTION INITIATION FROM RNA POLYMERASE II PROMOTER,GOBP,GO:0060260,0,1.351085284,1.523699124,2.289807998,0,0,0,2.387257842,0,1.473340679
MEMBRANE MICRODOMAIN,GOCC,GO:0098857,2.963126075,1.429714205,2.408568829,0,1.520895379,0,0,0,2.231255552,0
MITOCHONDRIAL RIBOSOME,GOCC,GO:0005761,0,2.199087123,4.224284869,0,1.345192323,0,0,1.567632777,0,3.023362788
MEMBRANE RAFT,GOCC,GO:0045121,2.963126075,1.429714205,2.408568829,0,1.520895379,0,0,0,2.231255552,0
ORGANELLAR RIBOSOME,GOCC,GO:0000313,0,2.199087123,4.224284869,0,1.345192323,0,0,1.567632777,0,3.023362788
ACTIN-BASED CELL PROJECTION,GOCC,GO:0098858,2.19091466,0,2.138299845,0,0,1.311038349,1.413048914,0,2.274550404,0
NUCLEAR PERIPHERY,GOCC,GO:0034399,2.416320402,0,1.395300846,0,0,0,0,2.192628475,1.582432938,1.536075384
FILOPODIUM,GOCC,GO:0030175,2.46964151,0,1.627875187,1.720282421,0,1.561112116,0,0,1.448263742,0
NUCLEAR SPECK,GOCC,GO:0016607,1.654364062,0,3.842826669,0,0,0,0,1.37151537,1.822296482,2.461564776
MEMBRANE REGION,GOCC,GO:0098589,2.774043219,1.312372201,2.184548437,0,1.442805068,0,0,0,2.094995456,0
"DNA-BINDING TRANSCRIPTION REPRESSOR ACTIVITY, RNA POLYMERASE II-SPECIFIC",GOMF,GO:0001227,1.748791983,0,0,0,0,3.10649554,1.45448858,0,1.663856428,2.250873536
MRNA BINDING,GOMF,GO:0003729,0,0,4.621683391,1.409351399,0,0,0,2.352356547,1.817669671,6.449492312
ACTIN BINDING,GOMF,GO:0003779,1.617552438,0,1.454156262,2.279971574,0,3.248696671,0,0,1.860673265,0
MRNA 3'-UTR BINDING,GOMF,GO:0003730,1.696092074,0,2.045547456,1.450348275,0,0,0,4.716370872,2.314408948,0
PURINE NUCLEOTIDE METABOLIC PROCESS,GOBP,GO:0006163,0,0,2.331868701,0,0,0,0,2.903671657,1.428088505,4.477014134
NEGATIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY,GOBP,GO:2001234,0,0,0,0,0,1.894888051,0,2.726387979,1.795817886,1.885014556
SERINE FAMILY AMINO ACID CATABOLIC PROCESS,GOBP,GO:0009071,0,2.426364015,0,1.545675784,0,0,0,1.352661508,1.665131289,0
REGULATION OF DNA-TEMPLATED TRANSCRIPTION IN RESPONSE TO STRESS,GOBP,GO:0043620,0,1.581457943,1.670574635,0,0,0,0,3.038553831,0,2.831122926
POSITIVE REGULATION OF MYELOID CELL DIFFERENTIATION,GOBP,GO:0045639,1.916810358,1.357638233,0,0,0,0,0,2.261702527,0,1.496436818
MYELIN ASSEMBLY,GOBP,GO:0032288,1.987669633,0,1.951020918,0,1.894864537,0,0,1.893360002,0,0
POSITIVE REGULATION OF TRIGLYCERIDE BIOSYNTHETIC PROCESS,GOBP,GO:0010867,0,0,0,0,2.220217931,2.522932708,0,2.372590033,1.665131289,0
RESPONSE TO CORTICOSTERONE,GOBP,GO:0051412,0,0,0,0,3.121546986,0,2.213589174,0,1.313792885,1.973839004
CELLULAR RESPONSE TO LIPID,GOBP,GO:0071396,2.945760904,0,0,0,0,0,1.680791955,4.308422352,2.723288201,0
POSITIVE REGULATION OF COFACTOR METABOLIC PROCESS,GOBP,GO:0051194,0,0,2.242785286,0,0,0,0,1.887354796,1.61984151,2.067702493
PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM,GOBP,GO:0070972,0,1.595554113,1.785204157,0,0,0,0,3.478141824,0,26.77347226
FEMALE GAMETE GENERATION,GOBP,GO:0007292,0,0,0,0,2.238159335,5.859128014,1.421950489,1.757022944,0,0
MICROTUBULE ORGANIZING CENTER ORGANIZATION,GOBP,GO:0031023,0,1.392766723,0,2.330983367,0,1.583222156,0,0,1.479898865,0
CHOLESTEROL HOMEOSTASIS,GOBP,GO:0042632,1.328103757,0,0,0,1.422477126,2.746625037,2.86939069,0,0,0
NEGATIVE REGULATION OF PROTEIN PHOSPHORYLATION,GOBP,GO:0001933,0,1.765888709,1.841787457,0,0,2.880382122,0,0,2.136795912,0
CELL CYCLE PHASE TRANSITION,GOBP,GO:0044770,0,0,3.077817069,1.675460993,0,4.311913164,0,2.771373973,0,0
RESPONSE TO ANTIBIOTIC,GOBP,GO:0046677,0,0,0,0,0,0,1.545749685,2.006174756,2.672160456,1.736822333
