,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,Female Anterior Insula,Female BA8/9,Female BA11,Female BA25,Female Nac,Female Subic,Male Anterior Insula,Male BA8/9,Male BA11,Male BA25,Male Nac,Male Subic,female_ancg,female_dlpfc,female_nacc,male_ancg,male_dlpfc,male_nacc
NEGATIVE REGULATION OF AMYLOID PRECURSOR PROTEIN CATABOLIC PROCESS,GOBP,GO:1902992,0,1.451733771,0,3.721852687,0,3.044560353,2.871063687,0,0,0,0,1.66060496,0,0,0,0,1.896175437,0,0,0,2.653212745,1.517876616
POSITIVE REGULATION OF MITOTIC NUCLEAR DIVISION,GOBP,GO:0045840,0,0,1.612012173,0,0,2.671638137,0,0,0,0,0,3.331965895,0,2.461519462,1.639290403,1.515373476,1.898651035,2.457317358,1.720631572,1.677877575,1.416454742,2.985215453
MEIOTIC SPINDLE ORGANIZATION,GOBP,GO:0000212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776709396,0,0,0,0
CELLULAR RESPONSE TO CATECHOLAMINE STIMULUS,GOBP,GO:0071870,0,0,2.679667496,1.958934761,0,1.433088905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENDRITIC SPINE ORGANIZATION,GOBP,GO:0097061,0,1.984091004,1.931141453,5.310501019,2.0097561,4.987066729,0,0,0,1.553038343,0,0,0,3.911768213,0,0,0,0,0,0,0,0
HAIR CYCLE,GOBP,GO:0042633,2.471506778,0,0,1.463936342,0,0,0,0,0,0,0,0,1.495634832,2.828511609,0,0,0,0,0,0,2.311931512,0
ACID SECRETION,GOBP,GO:0046717,0,0,0,0,0,0,0,0,0,0,0,0,0,1.316851909,0,0,0,0,0,1.779278919,0,0
REGULATION OF HEMOPOIESIS,GOBP,GO:1903706,6.532543759,2.999331019,7.447371197,3.045067131,2.225423309,3.993131577,2.411646426,4.262864904,0,1.858888572,0,2.73868928,1.504862262,6.156616599,0,0,1.843959137,0,2.873796401,6.005191945,5.733685139,9.321061117
CALCIUM ION HOMEOSTASIS,GOBP,GO:0055074,5.419090864,5.411184213,5.772225888,2.086878413,0,1.33754774,0,0,0,0,0,0,0,2.219940218,0,0,3.054710911,0,3.05402254,3.540811456,5.602618868,2.344372261
CYTOSKELETON-DEPENDENT INTRACELLULAR TRANSPORT,GOBP,GO:0030705,0,0,1.752748978,1.750542304,0,0,0,0,0,0,0,1.744176925,2.395267952,3.529307788,1.405590924,0,2.321388012,0,0,2.154171482,2.552431893,0
EMBRYONIC ORGAN DEVELOPMENT,GOBP,GO:0048568,3.65445302,1.459848877,4.353490591,2.645552752,1.8876857,0,0,0,2.760069215,0,0,1.411957144,1.329705094,4.330170689,0,0,1.677000036,0,0,4.233365685,4.118643436,4.469966272
REGULATION OF KERATINOCYTE PROLIFERATION,GOBP,GO:0010837,1.690941489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.114612068,0,5.624712528,0,0
MITOCHONDRIAL GENOME MAINTENANCE,GOBP,GO:0000002,0,0,2.384256815,0,0,0,1.579377754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF EARLY ENDOSOME TO LATE ENDOSOME TRANSPORT,GOBP,GO:2000641,1.404003163,1.532918083,2.774210903,0,0,0,0,0,0,0,0,0,0,1.953804862,0,0,0,0,0,0,2.782668877,0
HEMOGLOBIN METABOLIC PROCESS,GOBP,GO:0020027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.303551519,2.454678821,0,0,0,0,0
REGULATION OF ANOIKIS,GOBP,GO:2000209,2.142228705,0,4.38795814,0,0,0,0,0,0,1.789184209,0,2.655490938,0,2.562130984,2.392821948,0,0,0,2.477909032,2.0642364,0,1.410261768
REGULATION OF VIRAL PROCESS,GOBP,GO:0050792,4.624725708,5.419530446,4.245380482,0,0,2.339992474,2.02170895,0,1.492922349,0,0,3.102593066,1.492922349,6.08025262,0,0,0,0,2.914661555,2.652471446,2.680198422,4.419800225
CHOLESTEROL TRANSPORT,GOBP,GO:0030301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.945289248,0,0,1.702396616,0,0
REGULATION OF CELL CYCLE ARREST,GOBP,GO:0071156,0,2.431663128,3.798720365,0,0,0,1.609208154,0,0,0,0,0,1.302319693,0,0,0,2.774317798,5.957107739,0,3.988623933,1.370532199,0
NEGATIVE REGULATION OF RNA CATABOLIC PROCESS,GOBP,GO:1902369,0,0,1.897997629,0,0,0,0,0,0,0,0,2.158830851,0,0,0,0,0,0,0,1.458716228,3.632643956,0
REGULATION OF SMOOTH MUSCLE CELL DIFFERENTIATION,GOBP,GO:0051150,0,0,0,0,0,0,0,0,0,0,0,1.372131732,0,0,0,0,0,0,0,0,0,4.396970368
RENAL VESICLE MORPHOGENESIS,GOBP,GO:0072077,0,0,1.36819058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WATER HOMEOSTASIS,GOBP,GO:0030104,0,0,0,1.615200776,0,1.452526113,0,0,0,0,0,0,2.462929644,1.876825849,0,0,1.578225313,0,1.495222737,0,0,0
MEMBRANE DISRUPTION IN OTHER ORGANISM,GOBP,GO:0051673,0,0,0,0,1.339638599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRIATED MUSCLE TISSUE DEVELOPMENT,GOBP,GO:0014706,1.832172942,2.297869806,5.165844269,2.327920892,2.07770401,1.920236866,0,2.074229944,1.701496649,2.791554206,0,2.551733137,4.253224922,4.342353879,1.664303803,0,3.426695168,3.332754992,3.403537057,3.473369895,1.692306311,5.590171004
NEGATIVE REGULATION OF HORMONE SECRETION,GOBP,GO:0046888,1.722858416,3.648120325,1.556583272,0,1.480673672,3.610366673,0,2.123414654,0,0,0,0,0,0,0,3.737073337,0,0,0,1.630387477,3.930438522,1.340711797
ACTIN FILAMENT-BASED TRANSPORT,GOBP,GO:0099515,1.324214174,0,1.700821115,0,0,0,0,0,1.925197982,0,0,0,1.925197982,1.832252732,4.120088395,0,0,0,0,3.329276549,2.653212745,1.517876616
POSITIVE REGULATION OF ICOSANOID SECRETION,GOBP,GO:0032305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.721692896,0
REGULATION OF GONAD DEVELOPMENT,GOBP,GO:1905939,0,0,0,0,0,0,0,0,0,0,0,0,0,2.020434413,0,0,0,0,0,0,0,0
EXCITATORY POSTSYNAPTIC POTENTIAL,GOBP,GO:0060079,0,1.30639677,0,0,0,0,0,0,0,0,0,0,0,1.832563544,0,0,0,0,0,0,1.435184012,0
REGULATION OF NOTCH SIGNALING PATHWAY,GOBP,GO:0008593,0,0,0,0,0,0,0,0,2.009039048,0,0,0,0,3.525880133,0,0,2.755976745,0,0,0,1.357810799,0
POSITIVE REGULATION OF EPITHELIAL CELL DIFFERENTIATION,GOBP,GO:0030858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.398375857,3.056481908,2.130954866
HEMOSTASIS,GOBP,GO:0007599,0,1.977717353,5.408236627,2.461842515,0,0,0,0,3.193584327,2.497004847,2.432376167,2.241537392,0,2.452776429,0,1.903850285,0,0,0,0,2.327920892,2.705478939
REGULATION OF TYROSINE PHOSPHORYLATION OF STAT PROTEIN,GOBP,GO:0042509,7.043564427,2.248655657,2.751856296,2.266766629,0,0,0,0,0,1.556328188,0,1.936788231,2.423386785,3.772601365,0,0,2.369260641,0,4.995300188,2.51360651,2.467827065,0
RESPONSE TO TESTOSTERONE,GOBP,GO:0033574,1.538454345,0,0,0,0,0,0,0,0,1.374752283,0,0,0,1.763392658,0,0,0,0,0,0,1.858479455,0
POSITIVE REGULATION OF LIPID STORAGE,GOBP,GO:0010884,0,0,0,0,0,0,0,0,0,0,0,2.60346892,0,0,0,0,0,0,0,0,1.406635399,0
LOCOMOTORY BEHAVIOR,GOBP,GO:0007626,0,0,1.469409504,2.1473658,1.421079045,0,0,0,0,0,0,0,0,2.191623489,0,0,0,0,0,0,0,0
PROTEIN DEMANNOSYLATION,GOBP,GO:0036507,0,1.345065351,0,0,0,0,1.579377754,0,0,0,0,1.551206586,3.057574971,1.673775786,0,0,0,0,0,0,0,0
REGULATION OF BILE ACID BIOSYNTHETIC PROCESS,GOBP,GO:0070857,0,0,0,0,0,0,0,0,0,0,0,2.211305423,0,1.53082142,0,0,0,0,1.411718963,0,0,0
HEART VALVE FORMATION,GOBP,GO:0003188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.662977104,1.948783291,0
MIRNA MEDIATED INHIBITION OF TRANSLATION,GOBP,GO:0035278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.374695164,0,0,0
REGULATION OF ERBB SIGNALING PATHWAY,GOBP,GO:1901184,6.221750465,5.037819029,6.348344933,5.99654869,1.986304745,5.530017794,2.451526245,6.642245051,3.933268702,0,0,4.047343017,2.99678575,16.99934407,0,1.998263151,2.92891159,0,0,0,7.451808802,3.573454626
REGULATION OF COFACTOR METABOLIC PROCESS,GOBP,GO:0051193,1.825702306,1.5599505,3.891684934,1.57618525,0,0,2.06047996,3.869875766,0,0,0,1.998848358,0,4.362222704,1.927350958,0,0,0,0,2.874260213,0,3.011600511
NEGATIVE REGULATION OF NEURON PROJECTION REGENERATION,GOBP,GO:0070571,0,0,0,1.736773272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.660957802,0,0
REGULATION OF POTASSIUM ION TRANSPORT,GOBP,GO:0043266,2.536406857,0,2.892708606,0,0,0,0,0,0,0,0,0,0,1.633595438,0,0,0,0,0,0,0,0
PURINE NUCLEOTIDE METABOLIC PROCESS,GOBP,GO:0006163,1.327791561,0,1.958222603,0,0,0,3.37962514,0,0,0,0,0,0,1.907548278,0,0,0,0,0,0,0,4.940001545
NEURONAL ACTION POTENTIAL,GOBP,GO:0019228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.345542321,0
REGULATION OF NAD(P)H OXIDASE ACTIVITY,GOBP,GO:0033860,0,0,0,0,1.339638599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.176860275,0
NEGATIVE REGULATION OF SYNAPSE ORGANIZATION,GOBP,GO:1905809,0,1.451733771,3.62634848,1.459679668,0,1.802345988,1.689094414,0,0,1.900938424,0,0,0,0,0,0,1.896175437,0,0,0,2.653212745,0
PROTEIN TARGETING TO ER,GOBP,GO:0045047,0,0,0,0,0,0,0,0,0,0,0,1.483432495,0,0,0,0,0,0,0,0,0,1.82951188
POSITIVE REGULATION OF LEUKOCYTE DIFFERENTIATION,GOBP,GO:1902107,7.122759048,2.696753437,4.376786809,1.599295829,1.414237191,3.162094319,0,4.059156483,0,3.472695837,0,0,0,1.333496627,0,0,0,0,0,3.861005518,3.025947338,5.088763624
REGULATION OF SPINDLE ASSEMBLY,GOBP,GO:0090169,0,0,0,2.202838129,0,0,0,0,0,0,0,1.456074168,0,0,0,0,0,0,0,1.921384614,1.345542321,0
NEGATIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY,GOBP,GO:2001234,1.524845402,2.400749544,10.03255547,4.209620728,0,0,2.651731213,2.505564617,2.754448475,1.482420105,0,1.487119274,2.108854391,8.220466846,0,0,0,0,0,3.823715931,8.603798053,10.10959524
POSITIVE REGULATION OF RESPONSE TO ENDOPLASMIC RETICULUM STRESS,GOBP,GO:1905898,0,0,3.220289776,0,0,0,0,1.589553208,0,0,0,0,1.438453515,0,0,0,0,0,0,0,0,1.876353559
REGULATION OF B CELL DIFFERENTIATION,GOBP,GO:0045577,2.773311423,2.022328997,0,0,0,1.483096955,1.373677811,0,0,0,0,0,0,1.382593607,0,0,0,0,0,0,0,0
LOW-DENSITY LIPOPROTEIN PARTICLE RECEPTOR CATABOLIC PROCESS,GOBP,GO:0032802,0,0,0,0,0,0,0,0,0,0,0,2.295324466,0,1.610834755,0,0,0,0,0,0,0,0
REGULATION OF MORPHOGENESIS OF A BRANCHING STRUCTURE,GOBP,GO:0060688,2.92082127,2.323574719,6.165267363,1.524454956,1.673881605,0,0,0,0,0,0,0,2.186157282,0,0,0,2.144269347,0,0,2.795154084,5.656847545,2.4515247
ARTERY MORPHOGENESIS,GOBP,GO:0048844,0,0,0,2.021999556,0,0,0,0,3.981291808,0,1.460498947,3.331965895,2.908569252,0,0,0,0,1.430925202,0,1.677877575,1.416454742,2.130954866
POSITIVE REGULATION OF EPIDERMAL GROWTH FACTOR-ACTIVATED RECEPTOR ACTIVITY,GOBP,GO:0045741,0,0,1.303594325,0,0,2.211540223,0,2.498077894,0,0,0,0,0,4.984637304,0,0,0,0,1.340697389,0,1.948783291,1.918286683
POSITIVE REGULATION OF SEQUESTERING OF CALCIUM ION,GOBP,GO:0051284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.183212077,0,0,2.660957802,0,0
SPINAL CORD PATTERNING,GOBP,GO:0021511,0,1.532918083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TELENCEPHALON REGIONALIZATION,GOBP,GO:0021978,0,0,0,0,1.339638599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF HISTONE DEACETYLATION,GOBP,GO:0031063,0,0,2.137650638,2.158102433,0,0,0,0,0,0,0,1.426972271,0,0,2.260695148,0,0,0,0,1.877843678,3.400962568,0
CELL DIVISION,GOBP,GO:0051301,2.814191627,1.328177877,7.82215229,5.748320879,3.330374255,0,4.171757344,0,1.386670583,1.720036813,1.966447264,6.32279263,2.739819173,4.780156752,0,0,3.136231395,10.23254659,0,2.506955023,2.031579071,0
MONOCARBOXYLIC ACID TRANSPORT,GOBP,GO:0015718,0,0,1.303620234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF NUCLEOTIDE BIOSYNTHETIC PROCESS,GOBP,GO:0030810,4.065747545,1.611457738,1.467477856,1.622697553,0,0,2.926823249,2.522473134,0,1.300081438,0,0,0,4.00113688,1.880066618,0,0,0,0,2.113283722,1.747133729,2.590196532
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE MEDIATED BY A CHEMICAL SIGNAL,GOBP,GO:0003044,0,0,2.170879461,0,0,0,0,2.551071271,0,0,0,0,0,0,1.899161819,0,0,0,0,0,0,0
CELL MIGRATION INVOLVED IN GASTRULATION,GOBP,GO:0042074,0,0,0,0,0,0,0,0,0,0,0,1.942975221,0,0,0,0,2.183212077,0,0,0,0,0
INTERLEUKIN-6-MEDIATED SIGNALING PATHWAY,GOBP,GO:0070102,0,0,3.97181581,2.716788227,0,0,0,0,0,3.399647734,0,0,0,0,0,0,0,0,0,1.395714725,1.674119361,1.644292314
PROSTANOID METABOLIC PROCESS,GOBP,GO:0006692,0,0,0,0,0,0,0,0,0,0,0,0,3.55508798,0,0,0,0,0,0,0,1.858479455,0
OSTEOBLAST DIFFERENTIATION,GOBP,GO:0001649,0,2.662236485,1.595116241,0,0,0,1.959844811,0,0,2.423310223,0,1.302011885,0,1.859543158,0,0,0,0,0,2.716280341,0,2.200769231
PEPTIDYL-SERINE DEPHOSPHORYLATION,GOBP,GO:0070262,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333459546,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF T CELL DIFFERENTIATION,GOBP,GO:0045581,2.177344153,0,0,0,0,0,0,1.453737652,0,0,0,1.882720615,0,0,0,0,0,0,0,0,1.721143007,0
MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION,GOBP,GO:0031109,1.986564336,0,0,0,0,0,0,0,0,0,0,2.631548381,2.113018844,2.061404225,0,0,0,3.86241372,0,0,1.578319316,0
NEGATIVE REGULATION OF BLOOD PRESSURE,GOBP,GO:0045776,1.567050254,2.654251655,0,1.761637291,0,0,0,0,0,0,0,0,0,0,0,0,1.390218308,0,0,0,0,0
GLANDULAR EPITHELIAL CELL DEVELOPMENT,GOBP,GO:0002068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.980740382,0,0,0,1.629389858,0
REGULATION OF PLASMA MEMBRANE ORGANIZATION,GOBP,GO:1903729,3.614205586,0,2.774210903,0,0,0,0,0,2.009923907,0,0,0,0,0,0,0,0,0,0,0,1.629389858,0
RESPONSE TO ATP,GOBP,GO:0033198,0,0,0,0,0,0,0,0,0,0,0,1.346242158,0,0,0,0,0,0,0,0,0,0
ANIMAL ORGAN REGENERATION,GOBP,GO:0031100,1.470425414,4.100144179,0,0,1.339058292,2.336207714,0,0,0,0,0,0,0,0,1.46832383,0,2.5123255,4.428360022,0,2.008725479,4.428210042,2.572287745
REGULATION OF PROTEIN SUMOYLATION,GOBP,GO:0033233,0,0,0,1.352893129,2.253806745,1.69147251,2.69883772,3.296749185,0,1.789184209,0,0,0,0,0,0,0,0,0,2.0642364,0,2.438076528
POSITIVE REGULATION OF CYTOKINESIS,GOBP,GO:0032467,0,0,1.638073664,0,0,0,0,0,0,0,1.796240435,0,0,0,0,0,0,1.765611876,0,0,0,0
CHOLESTEROL EFFLUX,GOBP,GO:0033344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.750571237,0,0,2.0144123,0,0
REGULATION OF SECONDARY METABOLIC PROCESS,GOBP,GO:0043455,0,0,1.886129308,0,0,0,0,0,0,0,0,0,0,2.020434413,0,0,2.02671361,0,0,1.395714725,0,0
REGULATION OF GLUCOCORTICOID METABOLIC PROCESS,GOBP,GO:0031943,0,0,0,0,1.339638599,0,0,0,0,0,0,2.295324466,0,1.610834755,0,0,0,0,0,0,0,0
PRESYNAPSE ORGANIZATION,GOBP,GO:0099172,0,0,0,0,2.253806745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF SIGNAL TRANSDUCTION IN ABSENCE OF LIGAND,GOBP,GO:1901099,0,1.984091004,1.931141453,1.995861425,0,0,0,1.729961829,0,0,0,0,0,2.10083173,0,0,0,0,0,1.720359941,4.331881996,2.082131334
NEGATIVE REGULATION OF GENE SILENCING BY RNA,GOBP,GO:0060967,1.362966219,0,1.758830626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.290715834,2.716124925,0
AXO-DENDRITIC PROTEIN TRANSPORT,GOBP,GO:0099640,0,0,1.36819058,0,0,0,0,0,0,0,0,0,0,1.458761432,0,0,0,0,0,0,0,0
CELL AGING,GOBP,GO:0007569,0,1.933095254,3.494661442,0,0,0,1.554289947,0,0,2.781486164,0,1.515447399,0,2.353746577,0,0,0,2.396434409,0,2.305729831,2.110611206,1.323241339
NEGATIVE REGULATION OF RESPONSE TO CYTOKINE STIMULUS,GOBP,GO:0060761,1.548246542,0,0,1.790487095,1.383177128,0,0,0,0,0,1.337183968,1.397792704,2.65653258,1.538652462,0,1.391145106,0,0,2.708124781,0,0,0
CONNECTIVE TISSUE DEVELOPMENT,GOBP,GO:0061448,1.792743122,3.982813731,2.500188703,0,2.671846334,0,0,1.415100396,0,2.973382555,0,0,0,5.748571362,1.382989137,0,3.699630982,0,0,4.991595772,5.185645252,0
GLYCOGEN CATABOLIC PROCESS,GOBP,GO:0005980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.745622196,0,2.127556234,0,0,2.576521933,3.008678229,0
NEGATIVE REGULATION OF CATABOLIC PROCESS,GOBP,GO:0009895,0,5.546249322,4.54495468,4.977073024,2.44774904,0,2.710203873,1.755225028,0,0,0,3.722108596,0,4.828553887,0,0,1.34293901,0,0,3.254065783,7.697289644,4.744735896
CELLULAR RESPONSE TO MONOAMINE STIMULUS,GOBP,GO:0071868,0,0,2.679667496,1.958934761,0,1.433088905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEOXYRIBOSE PHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0046385,0,0,0,0,0,0,3.743543184,0,0,0,0,0,0,1.53082142,1.369069922,0,0,0,0,0,0,0
PROSTATE GLAND MORPHOGENESIS,GOBP,GO:0060512,2.142228705,1.345065351,3.33659446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.439295392,0
POSITIVE REGULATION OF CARDIAC MUSCLE CELL PROLIFERATION,GOBP,GO:0060045,0,0,2.527228826,0,0,0,1.650695427,0,0,0,0,1.622312272,0,0,0,0,0,0,0,2.171523705,2.593575753,1.480179723
VESICLE TRANSPORT ALONG MICROTUBULE,GOBP,GO:0047496,0,0,1.532504282,0,0,0,0,0,0,1.336409736,0,0,0,0,0,0,2.306707114,0,0,0,0,0
REGULATION OF CELL PROJECTION ASSEMBLY,GOBP,GO:0060491,3.587073713,1.943343163,5.601991952,3.042659806,0,0,0,0,2.14677036,0,0,0,0,4.021927333,0,0,2.07528667,0,1.385107639,0,2.240785879,0
REGULATION OF DNA-TEMPLATED TRANSCRIPTION IN RESPONSE TO STRESS,GOBP,GO:0043620,0,1.615951316,4.693245469,1.632375175,1.776252639,2.37188592,2.851487522,3.012313577,1.875081008,0,0,2.059251004,2.649178234,5.964538811,0,0,0,0,0,5.987282267,3.976250152,8.437835332
GLUCOSE 6-PHOSPHATE METABOLIC PROCESS,GOBP,GO:0051156,0,0,0,0,0,0,0,0,1.848788225,0,0,0,0,0,0,0,0,0,0,0,0,0
HEME CATABOLIC PROCESS,GOBP,GO:0042167,0,0,0,0,0,2.032317271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE,GOBP,GO:0002718,7.314904387,1.36071441,0,4.298511615,0,0,0,2.482293708,0,3.001973798,0,3.25507026,1.422517889,2.64348739,0,0,1.384573935,0,0,2.192762274,2.938256934,5.443457363
RESPONSE TO MONOAMINE,GOBP,GO:0071867,0,0,2.455456748,1.823219251,0,1.342570263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF AMYLOID PRECURSOR PROTEIN CATABOLIC PROCESS,GOBP,GO:1902991,2.322423229,0,0,4.66099548,0,3.268431501,3.043353612,0,0,0,0,1.993106203,0,2.469437192,0,0,3.455307974,0,0,1.438733875,3.801319931,0
NEGATIVE REGULATION OF HYDROLASE ACTIVITY,GOBP,GO:0051346,3.675782703,0,4.971443486,2.744947458,3.601101536,2.057379547,2.076951672,0,4.2104853,0,0,4.428786237,2.016617037,6.444212392,0,0,0,0,0,3.321406661,4.775451858,7.55632519
DETECTION OF MECHANICAL STIMULUS INVOLVED IN SENSORY PERCEPTION,GOBP,GO:0050974,0,1.984091004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARDIAC CHAMBER DEVELOPMENT,GOBP,GO:0003205,1.393873907,2.856600523,3.505449545,3.553081012,1.477763917,1.300720003,0,1.76463903,2.897360339,1.459694722,0,0,3.704845159,5.942823753,0,0,3.611520111,1.373051512,0,2.253418269,1.381258774,1.324625194
