"","GOID","cluster","ChangCTLvsMDD_ACC_Female","ChangCTLvsMDD_ACC_Male","ChangCTLvsMDD_DLPFC_Female","ChangCTLvsMDD_DLPFC_Male","Female.Anterior.Insula","Female.BA8.9","Female.BA11","Female.BA25","Female.Nac","Female.Subic","Male.Anterior.Insula","Male.BA8.9","Male.BA11","Male.BA25","Male.Nac","Male.Subic","female_ancg","female_dlpfc","female_nacc","male_ancg","male_dlpfc","male_nacc","ClusterTheme","UserTheme","pVal","TERM"
"11","GO:0000077",323,0,1.370982628,5.955725354,0,0,1.450580716,1.853218617,0,0,0,0,0,0,0,0,0,2.29957881,6.337602578,1.906034833,1.479098638,2.149087893,0,"cell cycle","cell cycle",1.70583210456018e-09,"DNA damage checkpoint"
"12","GO:0000079",271,3.653356585,1.305086483,10.67260862,3.354940992,2.953642959,5.496037569,6.048746659,4.364256824,2.976554661,1.345436196,1.905200324,5.922136062,2.127728763,5.271150123,0,0,8.137612019,10.13343514,2.289895624,8.722035812,3.642692393,10.48937812,"adenylate cyclase","threonine kinase",0.00641284764324364,"regulation of cyclin-dependent protein serine/threonine kinase activity"
"13","GO:0000082",329,2.86459396,1.869030797,2.180013108,4.963119296,2.920719412,2.652396412,3.190807665,2.385029547,2.09699214,0,0,1.629354973,2.09699214,1.424106822,0,1.962059103,2.869232952,3.796562997,4.544777954,2.702786153,3.587910849,2.013009731,"cell cycle","cell cycle",0.00821105154592137,"G1/S transition of mitotic cell cycle"
"14","GO:0000083",323,0,0,1.839649647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cell cycle","cell cycle",1.70583210456018e-09,"regulation of transcription involved in G1/S transition of mitotic cell cycle"
"15","GO:0000086",329,2.116178711,0,5.912132579,4.662569113,0,0,4.016551295,0,2.35004238,3.068320216,0,1.780890041,0,4.463857408,0,0,3.055322233,8.708007249,0,5.250874642,2.785438932,2.695081487,"cell cycle","cell cycle",0.00821105154592137,"G2/M transition of mitotic cell cycle"
"16","GO:0000118",64,0,0,1.988108998,0,0,0,0,0,0,0,0,0,0,1.612144426,0,0,0,0,0,0,0,0,"histone acetyltransferase","possesses histone",0.654733796172868,"histone deacetylase complex"
"17","GO:0000123",64,0,0,0,1.512022069,0,0,3.574274505,0,0,0,0,0,1.534507053,0,0,0,0,0,0,0,0,0,"histone acetyltransferase","possesses histone",0.654733796172868,"histone acetyltransferase complex"
"18","GO:0000132",329,0,0,2.137650638,0,0,1.56528368,0,0,1.685620202,0,0,1.426972271,0,0,0,0,1.657157575,0,0,1.877843678,2.289891855,0,"cell cycle","cell cycle",0.00821105154592137,"establishment of mitotic spindle orientation"
"19","GO:0000146",197,3.96714728,0,1.332896642,2.115156864,0,0,0,0,1.656822248,0,0,0,1.656822248,1.456800138,3.691111676,0,1.628439161,2.012443393,0,2.779472798,4.54783438,0,"motor proteins","motor proteins",5.50451982335999e-06,"microfilament motor activity"
"20","GO:0000151",330,0,0,0,0,0,0,1.476956068,0,0,0,0,0,1.56670611,0,0,0,0,0,0,0,0,0,"ubiquitin ligase","substrate specificity",0.96060395817442,"ubiquitin ligase complex"
"21","GO:0000159",322,0,0,0,0,0,0,0,0,0,0,0,0,2.055977791,0,0,0,0,0,0,2.424485661,0,0,"protein complex","dynein heavy",0.756912643043354,"protein phosphatase type 2A complex"
"22","GO:0000164",322,0,0,0,0,0,0,1.972106698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"protein complex","dynein heavy",0.756912643043354,"protein phosphatase type 1 complex"
"23","GO:0000165",33,13.43774562,12.22546066,21.39440957,10.79395146,6.472711966,10.74610731,6.595947609,4.197006329,6.17298209,6.754810808,2.44047561,12.53147985,16.98251269,28.92806945,0,2.608548862,2.773011344,2.98525026,4.913763266,12.63102926,8.846687658,13.14859515,"covalent linkages","linked ubiquitin",0.126028204904738,"MAPK cascade"
"24","GO:0000184",40,0,0,0,0,0,0,0,0,0,0,0,2.013705638,0,0,0,0,0,0,0,0,0,3.788573381,"rna polymerase","rna polymerase",0.2377713129642,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"25","GO:0000185",282,0,0,1.36819058,0,0,0,0,0,0,2.38272413,0,0,2.40759029,2.541453524,0,0,0,0,1.374695164,1.730437452,2.017736023,1.987104598,"enzyme map","inactive enzyme",2.43482623177276e-05,"activation of MAPKKK activity"
"26","GO:0000186",282,2.654240518,4.910231418,8.554618275,0,0,4.951321735,3.544742977,0,2.022710355,0,0,2.511257839,3.023219195,8.069224437,0,0,0,0,0,2.53136566,1.493822027,3.124911752,"enzyme map","inactive enzyme",2.43482623177276e-05,"activation of MAPKK activity"
"27","GO:0000187",282,11.85560291,13.16666975,11.90858342,4.922727676,5.100596136,8.720012342,2.892416673,3.26637652,7.374813885,2.774124537,1.385038509,8.788992807,9.517900161,20.89209012,3.432941699,1.460091828,2.049732811,4.825522495,1.745522218,8.610913773,5.37360897,8.735494433,"enzyme map","inactive enzyme",2.43482623177276e-05,"activation of MAPK activity"
"28","GO:0000188",282,2.04412856,0,3.166983066,2.249505088,8.721023613,5.453520352,0,6.17761564,7.339457527,10.63693967,0,0,1.746751705,1.580879247,0,2.194003155,2.909984845,0,0,1.966854652,0,1.346650004,"enzyme map","inactive enzyme",2.43482623177276e-05,"inactivation of MAPK activity"
"29","GO:0000209",232,2.560818249,0,2.425061295,0,0,0,7.292972743,0,1.872026796,0,0,1.621676844,3.642667916,5.269344268,0,0,0,0,0,1.92327011,0,1.618064165,"carbohydrate derivative","protein ubiquitination",0.753079653030403,"protein polyubiquitination"
"30","GO:0000212",178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.776709396,0,0,0,0,"assembly arrangement","assembly arrangement",6.43690122213396e-12,"meiotic spindle organization"
"31","GO:0000217",180,0,0,1.411876393,2.202838129,0,1.594872884,1.483928885,0,1.715567146,0,0,0,0,1.537643247,0,0,0,2.072763195,0,0,0,1.31690125,"double stranded","14 3",0.00518025710108708,"DNA secondary structure binding"
"32","GO:0000228",13,1.674951902,2.599630476,8.09157757,3.149066847,0,0,4.291967281,0,0,1.538502309,0,0,4.043217872,5.547846742,0,0,0,2.461744303,0,1.881679904,0,2.882448764,"organized complex","linear chromosome",0.00969742108215687,"nuclear chromosome"
"33","GO:0000242",387,1.324214174,0,2.604772562,0,0,0,0,0,3.232355969,0,0,2.827352631,0,0,0,0,1.896175437,0,0,0,0,1.517876616,"outer segment","zonula adherens",0.000991561045903045,"pericentriolar material"
"34","GO:0000271",223,0,0,0,0,0,0,0,1.453737652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,4 linked","linked glycosidically \ residues linked",0.999324748256775,"polysaccharide biosynthetic process"
"35","GO:0000272",377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.550516255,0,1.937312789,0,0,2.290715834,2.716124925,0,"2 amino","10 monosaccharide",0.956897456938401,"polysaccharide catabolic process"
"36","GO:0000276",102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.804520612,0,6.797791302,"atp synthase","proton transporting",0.15189125662283,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"37","GO:0000280",393,0,1.526524443,3.862741351,1.550472898,0,0,0,0,0,0,2.397225137,1.302856569,1.468120106,2.771402043,1.489338068,0,3.033899137,14.89708409,0,1.336118466,0,0,"cycle process","cell cycle",0.35685832958,"nuclear division"
"38","GO:0000281",329,1.589382145,0,0,0,1.406324213,0,0,0,0,0,1.360175043,0,0,0,0,0,0,0,0,0,0,0,"cell cycle","cell cycle",0.00821105154592137,"mitotic cytokinesis"
"39","GO:0000287",369,2.464789296,1.463915273,8.036688126,3.011804611,3.284313564,2.415590954,6.288408007,0,0,2.704907851,3.148888186,4.577709532,1.544324388,6.944430625,0,0,2.690748629,2.292082194,0,2.761522419,0,2.666566859,"responding e.g","iron sulfur",0.29410519592744,"magnesium ion binding"
"40","GO:0000302",34,0,0,7.035729053,4.775846505,2.701468286,3.411529002,3.705862084,0,1.748014168,1.698900672,1.829081519,2.297764831,0,11.72377776,0,0,0,0,0,3.196716548,5.255263037,8.353905157,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",2.08250416776334e-44,"response to reactive oxygen species"
"41","GO:0000303",34,0,0,0,0,0,0,0,0,0,0,0,1.788815735,0,4.206287883,0,0,0,0,0,0,0,0,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",2.08250416776334e-44,"response to superoxide"
"42","GO:0000305",34,0,0,0,0,0,0,0,0,0,0,0,1.743619597,0,4.082636457,0,0,0,0,0,0,0,0,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",2.08250416776334e-44,"response to oxygen radical"
"43","GO:0000307",128,1.457618782,1.637653311,5.622861491,4.539021859,1.76396826,4.343249996,2.964639869,3.746634859,0,1.318005771,0,2.908364519,2.320231768,0,0,0,7.252462015,4.155107215,0,7.261387867,3.701494199,5.885856055,"cyclin dependent","cyclin dependent \ dependent protein",0.825082276105915,"cyclin-dependent protein kinase holoenzyme complex"
"44","GO:0000338",33,0,0,0,0,0,0,5.615089643,0,0,2.544396612,0,0,0,0,0,0,0,0,0,0,0,0,"covalent linkages","linked ubiquitin",0.126028204904738,"protein deneddylation"
"45","GO:0000339",396,0,0,2.686926757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"compound consisting","compound consisting",0.716194722005193,"RNA cap binding"
"46","GO:0000340",396,0,0,3.450332673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"compound consisting","compound consisting",0.716194722005193,"RNA 7-methylguanosine cap binding"
"47","GO:0000375",288,0,0,1.329890395,0,0,0,0,0,0,0,0,3.269211205,1.971229164,0,0,0,0,0,0,0,0,1.729740112,"terminal domain","splice sites \ srp receptor",0.531787790194758,"RNA splicing, via transesterification reactions"
"48","GO:0000377",288,0,0,1.359529913,0,0,0,0,0,0,0,0,3.305183205,1.993319326,0,0,0,0,0,0,0,0,1.754738414,"terminal domain","splice sites \ srp receptor",0.531787790194758,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
"49","GO:0000380",40,0,2.446762761,0,1.422259565,0,0,1.650695427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rna polymerase","rna polymerase",0.2377713129642,"alternative mRNA splicing, via spliceosome"
"50","GO:0000394",288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.742373805,"terminal domain","splice sites \ srp receptor",0.531787790194758,"RNA splicing, via endonucleolytic cleavage and ligation"
"51","GO:0000398",288,0,0,1.359529913,0,0,0,0,0,0,0,0,3.305183205,1.993319326,0,0,0,0,0,0,0,0,1.754738414,"terminal domain","splice sites \ srp receptor",0.531787790194758,"mRNA splicing, via spliceosome"
"52","GO:0000400",180,1.493998638,1.624316799,1.956331949,2.791455145,0,0,0,0,2.104878075,0,0,0,0,0,0,0,0,2.470001134,0,0,0,0,"double stranded","14 3",0.00518025710108708,"four-way junction DNA binding"
"53","GO:0000413",232,0,0,0,0,0,0,0,0,0,0,0,1.856886255,0,2.251341434,0,0,0,0,0,1.313161717,0,1.654228685,"carbohydrate derivative","protein ubiquitination",0.753079653030403,"protein peptidyl-prolyl isomerization"
"54","GO:0000428",168,0,0,1.456820112,1.70642159,0,0,2.951081353,1.445626963,0,0,0,2.873084555,1.94022183,1.690458708,0,0,0,0,0,1.852507444,1.892435714,0,"rrna molecule","rna polymerase",0.134648048702318,"DNA-directed RNA polymerase complex"
"55","GO:0000439",176,0,0,1.439397574,0,0,2.358019875,0,0,0,0,0,2.211305423,0,0,0,0,0,0,0,0,0,0,"protein complex","protein complex",0.623710744153361,"transcription factor TFIIH core complex"
"56","GO:0000491",73,0,0,1.518553728,0,0,0,3.878447686,0,0,0,0,0,0,1.610834755,0,0,0,0,0,0,0,0,"ribonucleoprotein complex","rna granules",0.983395525816952,"small nucleolar ribonucleoprotein complex assembly"
"57","GO:0000502",153,0,0,1.503620933,0,0,0,3.268978223,0,0,0,0,0,0,3.018590688,0,0,0,0,0,0,0,0,"core complex","core complex \ proteasome core",0.294579370944119,"proteasome complex"
"58","GO:0000578",120,0,1.843896844,0,0,1.911146867,0,0,1.633483575,0,0,0,0,1.481620681,0,0,0,1.453791208,0,0,0,0,0,"regionalization process","anterior posterior",0.768611454356498,"embryonic axis specification"
"59","GO:0000712",393,0,0,0,1.585260903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.395714725,0,0,"cycle process","cell cycle",0.35685832958,"resolution of meiotic recombination intermediates"
"60","GO:0000715",75,0,1.378851727,0,0,0,0,5.439865546,0,0,1.824662455,0,1.585900869,3.113041892,1.723818043,0,0,0,0,0,0,0,0,"excision repair","damaged strand",0.00644166769028811,"nucleotide-excision repair, DNA damage recognition"
"61","GO:0000717",75,0,1.414353143,1.646075412,0,0,0,0,0,0,0,0,2.767184479,3.171213775,1.776555228,0,0,0,0,0,0,0,0,"excision repair","damaged strand",0.00644166769028811,"nucleotide-excision repair, DNA duplex unwinding"
"62","GO:0000723",336,0,0,3.377780022,0,0,0,3.214170305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mating type","telomeric dna",0.382803497305035,"telomere maintenance"
"63","GO:0000724",214,0,1.817636254,2.103835482,1.834680095,0,0,0,1.528712171,2.05224416,0,0,0,0,0,0,0,0,0,0,1.444084731,0,0,"strand break","strand break",0.125705636487336,"double-strand break repair via homologous recombination"
"64","GO:0000725",336,0,1.784457368,2.054833498,1.801405301,0,0,0,1.507226136,2.023274952,0,0,0,0,0,0,0,0,0,0,1.413336453,0,0,"mating type","telomeric dna",0.382803497305035,"recombinational repair"
"65","GO:0000726",336,0,1.734878797,3.092149708,0,0,0,0,0,0,1.691008906,1.31493156,0,0,0,0,0,0,0,0,0,0,0,"mating type","telomeric dna",0.382803497305035,"non-recombinational repair"
"66","GO:0000727",214,1.784219635,0,0,0,0,0,2.164707695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"strand break","strand break",0.125705636487336,"double-strand break repair via break-induced replication"
"67","GO:0000729",288,0,2.446762761,4.623471757,0,0,0,0,0,0,0,0,0,1.886051756,0,0,0,0,0,0,0,0,0,"terminal domain","splice sites \ srp receptor",0.531787790194758,"DNA double-strand break processing"
"68","GO:0000731",168,0,1.403881772,0,0,1.593464209,0,3.620900855,0,0,0,0,0,3.084102913,1.366461956,0,0,0,0,0,0,0,1.494534733,"rrna molecule","rna polymerase",0.134648048702318,"DNA synthesis involved in DNA repair"
"69","GO:0000774",108,0,0,5.169353481,0,0,0,2.240868919,0,0,0,0,2.211305423,2.484510683,2.658313961,1.369069922,2.945931441,0,0,0,0,2.093315565,2.062549023,"guanyl nucleotides","compound consisting",5.08070071870905e-05,"adenyl-nucleotide exchange factor activity"
"70","GO:0000775",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.083612952,0,0,0,0,"organized complex","linear chromosome",0.00969742108215687,"chromosome, centromeric region"
"71","GO:0000776",83,0,0,1.409504878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.157663273,0,0,0,0,"protein complex","protein complex",0.999704362985322,"kinetochore"
"72","GO:0000777",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.742382763,0,0,0,0,"organized complex","linear chromosome",0.00969742108215687,"condensed chromosome kinetochore"
"73","GO:0000778",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.470001134,0,0,0,0,"organized complex","linear chromosome",0.00969742108215687,"condensed nuclear chromosome kinetochore"
"74","GO:0000779",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.498966705,0,0,0,0,"organized complex","linear chromosome",0.00969742108215687,"condensed chromosome, centromeric region"
"75","GO:0000780",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.470001134,0,0,0,0,"organized complex","linear chromosome",0.00969742108215687,"condensed nuclear chromosome, centromeric region"
"76","GO:0000781",13,1.442031839,0,4.815106192,0,0,0,5.444156682,0,0,1.496428832,0,0,0,0,0,0,0,1.402197649,0,0,0,1.366314396,"organized complex","linear chromosome",0.00969742108215687,"chromosome, telomeric region"
"77","GO:0000782",13,0,0,0,0,0,0,2.095174436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"organized complex","linear chromosome",0.00969742108215687,"telomere cap complex"
"78","GO:0000783",13,0,0,0,0,0,0,2.095174436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"organized complex","linear chromosome",0.00969742108215687,"nuclear telomere cap complex"
"79","GO:0000784",13,0,0,0,0,0,0,2.095174436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"organized complex","linear chromosome",0.00969742108215687,"nuclear chromosome, telomeric region"
"80","GO:0000790",13,0,3.223130772,7.690115378,5.792104136,0,0,4.002795375,0,0,2.023380695,0,0,4.797111946,6.667267393,0,0,0,0,0,2.023085367,1.409689537,2.673447198,"organized complex","linear chromosome",0.00969742108215687,"nuclear chromatin"
"81","GO:0000791",13,1.596545153,0,0,0,0,0,0,0,0,1.415319258,0,0,0,1.839285597,0,0,0,0,0,0,0,0,"organized complex","linear chromosome",0.00969742108215687,"euchromatin"
"82","GO:0000792",13,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460222971,0,0,0,0,0,0,0,1.874982413,"organized complex","linear chromosome",0.00969742108215687,"heterochromatin"
"83","GO:0000793",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.653628602,0,0,0,0,"organized complex","linear chromosome",0.00969742108215687,"condensed chromosome"
"84","GO:0000794",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.038556181,0,0,0,0,"organized complex","linear chromosome",0.00969742108215687,"condensed nuclear chromosome"
"85","GO:0000812",176,0,0,0,1.926385986,0,0,2.164707695,0,0,2.38272413,0,0,0,0,0,0,0,0,0,0,0,0,"protein complex","protein complex",0.623710744153361,"Swr1 complex"
"86","GO:0000819",393,0,0,0,0,1.463257641,0,0,0,0,0,1.399145703,2.177365657,0,2.307898045,1.646301517,0,1.434040607,14.71591294,0,0,0,0,"cycle process","cell cycle",0.35685832958,"sister chromatid segregation"
"87","GO:0000910",35,0,0,1.74079642,1.331827367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"endoplasmic reticulum","endoplasmic reticulum",0.0897134698092715,"cytokinesis"
"88","GO:0000922",387,0,0,2.554795817,0,0,0,0,0,0,0,0,4.771933271,1.347422421,2.012142797,0,0,0,3.630681271,0,0,0,0,"outer segment","zonula adherens",0.000991561045903045,"spindle pole"
"89","GO:0000932",112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35638594,0,2.190110108,0,"er membrane","cytoplasmic proteasome \ er resident",0.215633077833215,"P-body"
"90","GO:0000940",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.640128343,0,0,0,0,"organized complex","linear chromosome",0.00969742108215687,"condensed chromosome outer kinetochore"
"91","GO:0000956",367,0,0,0,0,0,0,0,0,0,0,0,1.68474803,0,0,0,0,0,0,0,1.617898888,0,2.958347507,"residues polyadenylation","constituent macromolecules \ macromolecules assembly",0.339847289495565,"nuclear-transcribed mRNA catabolic process"
"92","GO:0000963",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.644292314,"rna polymerase","rna polymerase",0.2377713129642,"mitochondrial RNA processing"
"93","GO:0000979",249,0,0,0,0,0,1.980576908,0,0,0,0,0,0,0,0,0,0,0,0,0,1.441816039,1.721692896,0,"rna polymerase","rna polymerase",0.00353396186424659,"RNA polymerase II core promoter sequence-specific DNA binding"
"94","GO:0000993",249,0,0,1.754731041,2.800692042,0,0,2.191724114,0,0,0,0,0,0,0,0,0,0,0,0,1.584709784,0,0,"rna polymerase","rna polymerase",0.00353396186424659,"RNA polymerase II complex binding"
"95","GO:0001046",249,0,0,2.306386322,0,3.064805548,0,0,0,0,0,0,0,0,0,0,0,0,0,2.042793056,1.466128707,1.858479455,0,"rna polymerase","rna polymerase",0.00353396186424659,"core promoter sequence-specific DNA binding"
"96","GO:0001085",249,3.142603147,2.970324684,4.887342861,2.363678717,0,0,2.363010201,0,0,1.515285818,1.457908576,0,2.2324275,3.567738646,0,0,0,0,0,4.24784492,2.002842881,0,"rna polymerase","rna polymerase",0.00353396186424659,"RNA polymerase II transcription factor binding"
"97","GO:0001091",249,1.362966219,0,4.887177232,0,0,0,1.729563758,0,0,0,0,1.700967805,1.966415769,1.89121707,0,0,0,0,0,1.311731324,1.587203728,0,"rna polymerase","rna polymerase",0.00353396186424659,"RNA polymerase II general transcription initiation factor binding"
"98","GO:0001094",249,0,0,2.646430813,0,0,0,2.324996462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rna polymerase","rna polymerase",0.00353396186424659,"TFIID-class transcription factor complex binding"
"99","GO:0001098",249,1.847404599,1.344091215,4.635115852,2.947295169,0,0,3.507840056,0,0,0,0,0,0,0,0,0,0,0,0,1.753076882,0,0,"rna polymerase","rna polymerase",0.00353396186424659,"basal transcription machinery binding"
"100","GO:0001099",249,1.847404599,1.344091215,4.635115852,2.947295169,0,0,3.507840056,0,0,0,0,0,0,0,0,0,0,0,0,1.753076882,0,0,"rna polymerase","rna polymerase",0.00353396186424659,"basal RNA polymerase II transcription machinery binding"
"101","GO:0001101",34,1.724083144,0,3.148339598,1.429107013,3.1266149,3.723070139,6.50138817,0,0,1.794766911,2.289456818,5.589387654,0,8.634539541,3.560250083,0,3.498533422,0,0,8.453480768,7.58744805,7.332430228,"enzyme production \ movement secretion \ production gene \ secretion enzyme","enzyme production \ movement secretion \ production gene \ secretion enzyme",2.08250416776334e-44,"response to acid chemical"
"102","GO:0001102",249,1.337188289,1.513389644,2.67480518,1.524454956,0,0,0,0,0,0,0,0,0,0,0,1.682125244,0,0,1.890587797,1.981012659,0,0,"rna polymerase","rna polymerase",0.00353396186424659,"RNA polymerase II activating transcription factor binding"
"103","GO:0001103",249,0,1.877184864,0,0,0,0,0,0,0,0,1.885977572,0,0,2.779578601,0,0,0,0,0,1.616865027,0,0,"rna polymerase","rna polymerase",0.00353396186424659,"RNA polymerase II repressing transcription factor binding"
"104","GO:0001221",249,0,4.56260784,1.529804286,3.632440682,0,0,0,0,0,0,0,1.515447399,0,3.060462441,0,0,0,1.391775003,0,0,0,1.323241339,"rna polymerase","rna polymerase",0.00353396186424659,"transcription cofactor binding"
"105","GO:0001222",249,0,0,1.332896642,0,0,0,0,0,0,0,0,1.39901794,0,1.456800138,0,0,0,0,0,0,0,0,"rna polymerase","rna polymerase",0.00353396186424659,"transcription corepressor binding"
"106","GO:0001223",249,0,5.849488262,1.454176,3.34830704,0,0,0,0,0,0,0,1.486412258,0,3.392712726,0,0,0,0,0,0,1.375421616,1.346650004,"rna polymerase","rna polymerase",0.00353396186424659,"transcription coactivator binding"
"107","GO:0001224",249,0,1.378851727,2.453851244,1.386718776,0,0,0,0,0,0,0,0,0,0,0,0,0,2.209144609,0,0,0,0,"rna polymerase","rna polymerase",0.00353396186424659,"RNA polymerase II transcription cofactor binding"
"108","GO:0001228",217,0,0,0,2.408580272,2.344215585,0,0,0,0,1.552426777,0,0,0,0,0,0,0,0,1.683527417,0,0,1.519399575,"rna polymerase","coding rnas \ effectively translated",0.781888072602268,"DNA-binding transcription activator activity, RNA polymerase II-specific"
"109","GO:0001501",55,5.000637203,3.985022309,4.003895557,3.094782058,3.537614558,0,0,2.490127972,1.964099712,2.354181475,1.581514075,0,0,3.640538321,0,0,6.616750986,0,0,3.216947224,4.125467632,2.536457148,"mature structure","mature structure",1.0286954091169e-24,"skeletal system development"
"110","GO:0001502",20,1.362966219,0,0,0,0,0,0,0,0,1.942089178,0,0,0,0,0,0,0,0,0,1.311731324,2.716124925,0,"epithelial cell","epithelial cell",0.00428306176717297,"cartilage condensation"
"111","GO:0001503",117,3.883787863,3.437283601,1.818744794,4.065690403,1.47251956,0,0,0,0,2.251413703,0,3.211236234,1.752042964,5.030533476,0,0,2.848406905,0,0,3.07316282,1.75380233,3.76673589,"muscle cells","muscle cells",5.04263631599075e-06,"ossification"
"112","GO:0001505",235,2.023424107,1.342515527,2.272884268,1.365222616,2.355748276,0,0,0,0,0,0,0,0,3.197027458,0,0,0,0,0,1.816876875,2.507980162,1.535729539,"neurotransmitter receptor","synaptic transmission",0.813545817811254,"regulation of neurotransmitter levels"
"113","GO:0001508",37,0,0,1.882218192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567420655,0,"action potential","action potential",0.990505384297104,"action potential"
"114","GO:0001516",223,0,0,0,0,0,1.84320228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.587203728,0,"1,4 linked","linked glycosidically \ residues linked",0.999324748256775,"prostaglandin biosynthetic process"
