,,,GSE21935_Barnes_FSCZvsCTL,GSE21935_Barnes_MSCZvsCTL,GSE17612_Maycox_FSCZvsCTL,GSE17612_Maycox_MSCZvsCTL,GSE46509_Piet_FSCZvsCTL,GSE46509_Piet_MSCZvsCTL,GSE37981_Piet_FSCZvsCTL,GSE37981_Piet_MSCZvsCTL,female_scz_ancg_dge,female_scz_dlpfc_dge,female_scz_nacc_dge,male_scz_ancg_dge,male_scz_dlpfc_dge,male_scz_nAcc_dge
BLOOD VESSEL DEVELOPMENT,GOBP,GO:0001568,2.00601817,2.863453195,4.428659249,3.472792195,3.511410078,3.987089047,1.864169495,4.251393944,3.158555941,1.464418621,0,3.075959588,0,0
NEGATIVE REGULATION OF PHOSPHORYLATION,GOBP,GO:0042326,3.436556328,14.07995941,5.339233867,7.991188913,5.259924464,6.65625917,7.339369381,3.709681309,0,2.109739044,0,3.998883363,2.086360195,0
GLAND DEVELOPMENT,GOBP,GO:0048732,5.613272141,3.468720401,6.046236079,4.053633956,8.882529512,3.061270884,0,2.263373793,2.001764932,0,0,5.346773929,1.831517162,1.610632509
REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS,GOBP,GO:0090287,3.916229591,5.30216192,3.878112289,8.109098559,4.09025865,4.747544487,2.910131562,2.307239168,2.71967764,0,0,2.393743869,1.620848575,0
POSITIVE REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY,GOBP,GO:0090100,3.100497496,2.505250596,3.601805734,2.140719836,4.354907738,4.17322779,5.254438746,3.513049437,2.94523463,0,0,3.094363705,2.909048663,0
BLOOD VESSEL MORPHOGENESIS,GOBP,GO:0048514,1.735502622,1.62224675,4.369286877,3.208878594,3.242838947,1.694772293,0,2.831662299,2.221115725,1.756367746,1.6970622,3.114816521,0,0
REGULATION OF EPITHELIAL CELL PROLIFERATION,GOBP,GO:0050678,0,3.993133863,4.228138824,2.135165471,6.509445869,2.706034913,1.31691578,3.33717135,2.779085655,2.067319362,0,3.442917114,1.495352134,0
CELLULAR RESPONSE TO PEPTIDE,GOBP,GO:1901653,5.294047535,3.263068246,5.039586198,0,2.15851616,6.150239545,1.92074245,4.078896309,1.778508469,1.427637738,0,6.449616877,5.684345642,0
CARDIOVASCULAR SYSTEM DEVELOPMENT,GOBP,GO:0072358,1.923377236,2.739916604,4.265693661,3.352786423,4.147266596,4.616426476,1.783510197,4.090282605,3.56183628,1.398959062,0,3.113338826,0,0
RESPONSE TO PEPTIDE,GOBP,GO:1901652,4.118736189,4.207784551,5.233451537,0,2.829751682,7.466476374,1.893494145,5.034669017,2.601784949,2.06116947,0,7.040656783,5.385094751,0
POSITIVE REGULATION OF CELLULAR CATABOLIC PROCESS,GOBP,GO:0031331,0,2.726817221,3.597303469,2.453409159,4.001821329,6.303608091,3.59474986,2.797219629,1.59603698,1.735193674,0,3.780359394,2.344816028,0
PROTEIN AUTOPHOSPHORYLATION,GOBP,GO:0046777,3.129534245,2.415455247,4.278726344,2.322681906,4.251068295,3.081950766,1.384116184,3.274698659,2.107279527,1.474545623,0,1.768198512,0,0
TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE ACTIVITY,GOMF,GO:0004714,1.879704696,2.240790297,5.322688377,2.904830149,7.703497627,1.851660243,3.726265516,3.171992644,2.911223468,0,0,1.324307535,1.440892429,0
PROTEIN SERINE/THREONINE KINASE ACTIVITY,GOMF,GO:0004674,6.565696975,10.26673033,4.45383621,7.794354172,5.888434677,9.472029624,5.351010097,10.44789107,1.471088164,0,0,7.178113051,2.17002165,0
TRANSMEMBRANE RECEPTOR PROTEIN KINASE ACTIVITY,GOMF,GO:0019199,1.719317573,2.851072998,5.993717588,2.682745057,7.230100755,2.565343266,4.483922688,3.814018794,2.926233244,0,0,1.953427164,1.568962459,0
RESPONSE TO INSULIN,GOBP,GO:0032868,4.535598883,2.736736665,2.891389424,0,0,5.465606907,2.582090983,3.580862444,0,2.740219121,0,6.599961061,6.051892105,1.818313849
REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY,GOBP,GO:0051090,6.131397645,6.083488038,7.295150517,0,4.625220196,3.54300933,1.49082407,3.249094876,2.770483531,0,1.459165357,2.646889521,0,0
REGULATION OF LIPID METABOLIC PROCESS,GOBP,GO:0019216,2.421155671,4.9491224,6.938218672,4.069245709,3.30236447,1.733344831,0,2.89509998,2.661410186,0,0,1.744670592,1.851530331,0
REGULATION OF WNT SIGNALING PATHWAY,GOBP,GO:0030111,4.979854791,4.439068343,3.208038298,2.674339548,4.313397783,7.742390566,0,5.331131531,3.804975175,0,0,4.011096628,1.498324963,0
REGULATION OF CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0006109,2.097581511,2.993890067,5.908374371,2.17333368,1.422889222,5.841172477,3.694049086,3.051627167,1.792935957,0,0,2.678322778,0,0
RESPONSE TO HYPOXIA,GOBP,GO:0001666,1.411056875,0,1.529479301,4.549255994,0,4.314862067,2.603493245,1.45874414,1.491599275,2.787018045,0,4.67325332,4.66832104,0
PEPTIDYL-SERINE PHOSPHORYLATION,GOBP,GO:0018105,5.200612948,3.266194039,0,4.272447066,4.304166666,9.878724875,2.171301179,5.171525379,1.780318019,1.498675795,0,5.095775749,0,0
REGULATION OF TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY,GOBP,GO:0017015,2.875466365,3.184687798,2.396790946,5.209893698,4.066485999,1.888806568,3.791258063,1.521561373,0,0,0,1.428038941,1.505337069,0
HEART DEVELOPMENT,GOBP,GO:0007507,3.872921368,1.642029904,2.317843113,4.042831249,6.623481295,1.839773458,2.320319635,2.203781059,0,1.37069186,0,2.928306285,0,0
REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS,GOBP,GO:1903844,2.836891107,3.137285544,2.359599355,5.149591805,4.01697202,1.860820693,3.742299538,1.494973539,0,0,0,1.349572715,1.456705521,0
MUSCLE STRUCTURE DEVELOPMENT,GOBP,GO:0061061,2.125160065,1.895420749,1.53146165,4.439422077,1.642869425,1.499840062,0,1.451121672,1.435260818,0,1.639783999,3.697364131,0,0
DEVELOPMENTAL GROWTH,GOBP,GO:0048589,1.379036161,0,2.061951244,5.391636885,4.516139525,1.34690347,0,3.268464783,1.411225516,1.395496485,0,3.505468329,1.720533244,0
CELLULAR RESPONSE TO EXTERNAL STIMULUS,GOBP,GO:0071496,0,2.431731702,3.2800762,2.729490886,3.543170365,4.981305826,2.464912565,1.357618079,2.128371862,0,0,5.593747721,1.58188462,0
PEPTIDYL-SERINE MODIFICATION,GOBP,GO:0018209,4.860097489,2.993890067,0,3.983930854,4.015252101,9.32037302,1.991851768,4.79107571,1.444644902,1.367953484,0,5.250222201,0,0
REGULATION OF CELLULAR KETONE METABOLIC PROCESS,GOBP,GO:0010565,1.491248951,1.734479068,0,2.364959528,3.308971449,0,0,1.771035274,2.199166157,1.504808366,0,1.629287097,2.815554552,1.535935977
REGULATION OF JNK CASCADE,GOBP,GO:0046328,2.296250763,7.184413475,2.6073072,1.552939281,2.393631449,2.259220199,2.188167218,1.779059916,0,0,1.45188643,1.653353211,0,0
REGULATION OF STRESS-ACTIVATED MAPK CASCADE,GOBP,GO:0032872,1.945182302,9.35178325,3.734078376,0,4.751803214,1.909624283,3.454257178,2.09802164,0,0,1.374407436,2.068301773,1.301090886,0
POSITIVE REGULATION OF CATABOLIC PROCESS,GOBP,GO:0009896,0,2.339392103,3.137192508,2.147944883,3.567615924,6.564888512,3.172922184,4.326721579,0,1.495130615,0,3.273060134,1.998451659,0
CELLULAR RESPONSE TO NUTRIENT LEVELS,GOBP,GO:0031669,0,2.461771462,2.612233385,1.81398923,1.832774452,5.059155613,1.6412048,0,1.390607705,0,0,4.079747189,1.588649735,1.405255549
RESPONSE TO DECREASED OXYGEN LEVELS,GOBP,GO:0036293,1.363395555,0,1.47225973,4.438803358,0,4.205704975,2.526537309,1.402461178,1.372524278,2.70863911,0,4.599377711,4.432097957,0
NEGATIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY,GOBP,GO:0071901,0,5.996966089,2.242640809,2.795325331,1.873538316,3.682521596,3.587958311,0,1.74134586,1.814716385,0,1.646174378,1.731962004,0
CELLULAR RESPONSE TO INSULIN STIMULUS,GOBP,GO:0032869,5.347178925,2.551462877,2.682937639,0,0,5.276996091,3.133262879,3.4434604,0,2.376753948,0,5.116667119,5.320860701,1.663561782
REGULATION OF CANONICAL WNT SIGNALING PATHWAY,GOBP,GO:0060828,3.110379998,4.520500419,1.789717598,3.225840888,4.138181552,6.778918628,0,3.040621088,4.553591148,0,0,3.066778397,1.358528486,0
REGULATION OF PROTEIN BINDING,GOBP,GO:0043393,1.36002798,1.564952957,3.163145314,1.41418048,3.071751217,2.901216233,0,1.600452536,1.808218172,1.373257686,0,2.118537416,0,0
GROWTH,GOBP,GO:0040007,1.371185662,0,2.050036218,5.370788566,4.497884948,1.339112999,0,3.251603713,1.666034914,1.387615902,0,3.450207678,1.700051795,0
POSITIVE REGULATION OF CELL CYCLE,GOBP,GO:0045787,0,4.270774001,3.077910493,1.896558965,1.919132153,3.12774254,0,4.365717112,0,0,1.838301083,1.881583824,2.261161397,2.60902753
ATPASE ACTIVITY,GOMF,GO:0016887,4.310979903,7.609943634,0,2.94052402,2.973715973,2.103001744,2.007778564,6.90235388,0,0,0,3.585727461,1.933095943,3.720258456
PHOSPHATASE BINDING,GOMF,GO:0019902,2.157901839,3.929283136,1.712064218,1.452526113,4.111413527,2.121406164,1.32197386,2.355937657,2.750055495,0,0,2.615670225,0,0
REGULATION OF STRESS-ACTIVATED PROTEIN KINASE SIGNALING CASCADE,GOBP,GO:0070302,1.925779677,9.281037844,3.698834127,0,4.71475856,1.890314975,3.423651901,2.074575355,0,0,1.346445708,1.995267446,0,0
CELLULAR RESPONSE TO LIPID,GOBP,GO:0071396,2.655594308,1.786113963,7.658069147,0,1.560327509,4.015155508,4.623364153,0,3.563803443,0,0,1.55721854,2.251808948,0
LYMPHOCYTE ACTIVATION,GOBP,GO:0046649,1.814413646,0,6.177960071,1.901133995,0,3.134507189,1.694277635,2.330539762,3.524822305,0,0,2.10548794,1.639483704,0
CELLULAR RESPONSE TO EXTRACELLULAR STIMULUS,GOBP,GO:0031668,0,2.275571507,2.42280952,2.40784139,2.431944102,4.780480928,1.518536665,0,2.04164867,0,0,4.253460861,1.33928085,0
ANGIOGENESIS,GOBP,GO:0001525,1.500135662,0,3.658691814,2.253509413,3.048174554,1.467127944,0,2.15426208,2.740034245,0,1.374558269,1.914280004,0,0
REGULATION OF CELL-SUBSTRATE ADHESION,GOBP,GO:0010810,1.303532525,1.492257485,1.588244735,1.357057915,2.120626,1.990066384,0,0,2.008114356,1.316605744,0,1.842523978,0,0
MAPK CASCADE,GOBP,GO:0000165,3.059076628,6.42841714,2.30783585,0,5.768677745,0,4.396273402,4.930819844,1.615570991,0,0,2.567357592,1.452727749,0
REGULATION OF CHROMOSOME ORGANIZATION,GOBP,GO:0033044,1.903147382,2.391649148,0,1.991091771,0,2.529621328,3.145554155,1.859383404,0,1.319325569,0,4.099499121,0,4.460534047
NEGATIVE REGULATION OF CELL CYCLE PROCESS,GOBP,GO:0010948,1.427449215,1.993783648,0,0,1.513446689,1.39495549,1.33294768,2.679082727,0,2.813912589,0,2.482473753,0,2.061114143
ENDOPLASMIC RETICULUM CALCIUM ION HOMEOSTASIS,GOBP,GO:0032469,2.378156968,2.064592231,3.52933299,0,0,2.357724248,0,2.085928565,1.454801524,0,0,2.077575762,1.652129837,1.353742759
RESPONSE TO RADIATION,GOBP,GO:0009314,1.579617022,0,1.577481445,1.662696544,1.684372521,2.780497689,2.664019076,3.868246993,0,0,0,2.293671323,0,1.647244936
LYMPHOCYTE DIFFERENTIATION,GOBP,GO:0030098,1.875502057,0,6.330822215,2.747372886,0,3.453144291,2.517748895,2.013886199,2.80264655,1.893507038,0,2.323660098,0,0
CELL FATE COMMITMENT,GOBP,GO:0045165,1.945182302,1.418254961,2.177044643,2.83834995,5.79689944,1.909624283,0,1.45270945,0,0,0,3.578247161,1.301090886,0
POSITIVE REGULATION OF WNT SIGNALING PATHWAY,GOBP,GO:0030177,2.304861396,2.48721015,1.85088846,3.305346482,3.331205919,6.290333939,0,1.78714001,5.970845733,0,0,1.950053404,0,0
PHOSPHATIDYLINOSITOL-MEDIATED SIGNALING,GOBP,GO:0048015,3.579801263,0,3.081153593,1.454453161,2.508893922,3.53963999,2.345639953,2.014765269,3.970723967,0,1.303159062,0,0,0
REGULATION OF NEURON DEATH,GOBP,GO:1901214,0,2.845564854,2.328369149,1.624593742,3.137720133,0,2.10584557,2.235905625,0,0,1.47295592,2.40958214,1.516019824,0
POSITIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY,GOBP,GO:0071902,3.488696164,10.16426823,4.960104018,4.484273008,5.449330637,1.350821564,1.884469163,4.791019838,0,0,0,1.419923667,0,0
POSITIVE REGULATION OF SMALL MOLECULE METABOLIC PROCESS,GOBP,GO:0062013,1.719317573,2.031035563,4.92456299,2.682745057,0,3.539631775,2.492266582,3.814018794,5.24139559,1.733355841,0,0,0,0
CELLULAR RESPONSE TO ENVIRONMENTAL STIMULUS,GOBP,GO:0104004,0,0,4.4828495,1.58293694,3.916533038,5.473312143,6.259225117,4.331428569,0,0,0,4.169366407,1.427241777,2.019802118
RESPONSE TO LEUKEMIA INHIBITORY FACTOR,GOBP,GO:1990823,0,1.984704356,3.081153593,2.49303249,0,1.395941535,1.359464456,0,0,0,1.303159062,3.170446392,1.33846062,2.996752313
GLAND MORPHOGENESIS,GOBP,GO:0022612,2.275070187,2.761210043,5.077910491,1.353062159,3.470264393,2.245958693,0,0,2.297824663,0,0,5.08103624,1.62130413,0
REPRODUCTIVE SYSTEM DEVELOPMENT,GOBP,GO:0061458,0,0,2.30783585,3.189450552,3.223358411,2.996858377,0,2.204470689,0,0,2.396429363,1.735857828,1.734409225,2.334065462
CELLULAR RESPONSE TO ABIOTIC STIMULUS,GOBP,GO:0071214,0,0,4.4828495,1.58293694,3.916533038,5.473312143,6.259225117,4.331428569,0,0,0,4.169366407,1.427241777,2.019802118
REPRODUCTIVE STRUCTURE DEVELOPMENT,GOBP,GO:0048608,0,0,2.325553137,3.208878594,3.242838947,3.015972229,0,2.221932637,0,0,2.426708625,1.785268857,1.763032444,2.076345085
POSITIVE REGULATION OF CANONICAL WNT SIGNALING PATHWAY,GOBP,GO:0090263,1.727146148,2.041252532,1.389953175,2.693609063,1.799492742,4.615883734,0,1.342584598,5.280159227,0,0,1.685523564,0,0
CELLULAR RESPONSE TO LEUKEMIA INHIBITORY FACTOR,GOBP,GO:1990830,0,1.999550914,3.101690224,2.508490244,0,1.405840882,1.369311766,0,0,0,1.319734086,2.750613851,1.35808255,3.036352273
POSITIVE REGULATION OF CELL ADHESION,GOBP,GO:0045785,1.617769263,3.190395899,1.620774156,3.787886235,3.061628515,1.577960371,2.077846188,2.060196976,2.486231583,0,0,0,0,0
REGULATION OF MAP KINASE ACTIVITY,GOBP,GO:0043405,6.213224043,9.234791248,5.85835131,2.851732552,6.473248562,1.366648502,3.332063981,6.542625718,0,0,0,1.303204235,0,0
SIGNAL TRANSDUCTION BY PROTEIN PHOSPHORYLATION,GOBP,GO:0023014,3.059076628,6.42841714,2.30783585,0,5.768677745,0,4.396273402,4.930819844,1.615570991,0,0,2.567357592,1.452727749,0
REGULATION OF NUCLEOTIDE METABOLIC PROCESS,GOBP,GO:0006140,1.727146148,2.864282349,2.999194898,2.693609063,0,0,0,2.079391021,0,0,1.395180894,1.411146154,2.031193256,2.159438311
WOUND HEALING,GOBP,GO:0042060,0,1.705768261,2.988830648,3.388151907,2.72058078,0,1.807236127,2.853622042,2.354108881,0,0,4.521076327,2.073208084,0
MULTI-MULTICELLULAR ORGANISM PROCESS,GOBP,GO:0044706,1.431835057,1.657610386,2.495287332,2.281705991,2.301585893,0,1.355322262,1.693705797,0,3.101414816,0,1.909717568,0,0
ACTIVATION OF PROTEIN KINASE ACTIVITY,GOBP,GO:0032147,2.813669045,11.51259026,2.819232094,3.744403218,6.607807066,2.759816328,2.656732335,3.407973313,0,0,0,1.877680607,0,0
POSITIVE REGULATION OF CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0045913,2.447126051,1.999550914,5.435672815,2.508490244,0,4.809225108,3.483240827,4.133938895,2.089789071,0,0,1.895260942,0,0
REGULATION OF EPITHELIAL CELL APOPTOTIC PROCESS,GOBP,GO:1904035,1.385947554,0,3.021206822,2.447890688,1.435527075,2.357415828,0,1.971322256,1.468187335,0,0,3.484953681,2.382015296,0
REGULATION OF CELLULAR CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0010675,0,1.345167653,2.187850343,1.816780085,1.831735331,4.684616699,4.569166025,2.121299129,0,0,0,2.444709323,1.648209301,0
POSITIVE REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING,GOBP,GO:0043123,3.118939635,7.02684634,8.43334925,1.510265471,0,4.025768719,1.378281762,2.452820029,0,1.468610909,0,4.036477903,0,0
MEMBRANE MICRODOMAIN,GOCC,GO:0098857,1.423326713,3.28920841,4.258744162,0,2.174896866,2.018629042,1.328915336,2.039202479,3.207875483,0,0,3.527371319,0,0
MEMBRANE RAFT,GOCC,GO:0045121,1.423326713,3.28920841,4.258744162,0,2.174896866,2.018629042,1.328915336,2.039202479,3.207875483,0,0,3.527371319,0,0
PROTEIN KINASE REGULATOR ACTIVITY,GOMF,GO:0019887,0,2.366177613,0,3.176175765,4.186468849,3.974728629,4.858770431,2.413329354,0,2.22381307,1.334530988,1.647570596,0,0
PROTEIN TYROSINE KINASE ACTIVITY,GOMF,GO:0004713,1.76724643,2.093622321,5.043729988,2.749217273,7.372040159,2.631241896,5.71732845,2.981523963,3.634277181,0,0,0,0,0
KINASE REGULATOR ACTIVITY,GOMF,GO:0019207,0,2.825224618,2.22560817,4.790527338,3.835067764,4.579137766,6.493788873,2.146098235,0,2.003201209,0,1.473191454,0,0
CALCIUM ION HOMEOSTASIS,GOBP,GO:0055074,1.590938536,1.462392234,2.123960245,2.296046468,1.695932238,4.28930166,1.47594222,0,2.399495873,0,0,0,0,0
CELL AGING,GOBP,GO:0007569,1.618601228,0,0,1.659085445,0,3.968715935,2.659297727,1.343081024,0,1.628518022,0,2.769531499,0,1.321140089
GLYCEROLIPID METABOLIC PROCESS,GOBP,GO:0046486,0,0,2.947949544,1.816757446,0,1.690557552,1.612936479,0,1.379889716,0,2.416572922,2.609434103,3.512668667,0
INOSITOL LIPID-MEDIATED SIGNALING,GOBP,GO:0048017,3.498535261,0,3.001756274,1.415880869,2.449038625,3.458503276,2.286443861,1.957234532,4.501955828,0,0,0,0,0
POSITIVE REGULATION OF SUPRAMOLECULAR FIBER ORGANIZATION,GOBP,GO:1902905,0,1.642843153,1.741516706,0,2.285512878,2.152536469,0,2.393958115,2.393865169,0,0,2.743141831,1.345246899,0
CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS,GOBP,GO:0071560,0,0,1.325411795,2.598731816,1.73053258,3.432941699,2.409524402,1.989908156,2.259049233,0,0,2.33441491,0,0
REGULATION OF VASCULATURE DEVELOPMENT,GOBP,GO:1901342,0,1.975486489,4.238303312,0,0,6.162257278,1.320899486,2.026929905,5.863120507,2.072694186,0,2.180246471,0,0
DNA CONFORMATION CHANGE,GOBP,GO:0071103,0,2.820558558,1.685694803,1.610533809,0,5.543684929,2.811859674,2.884745715,0,0,0,1.458610103,0,1.502645715
CELLULAR CALCIUM ION HOMEOSTASIS,GOBP,GO:0006874,1.641240091,1.517841652,2.194076038,1.72533675,1.747267952,4.392380447,1.525012974,0,2.25023114,0,0,0,0,0
RESPONSE TO OXYGEN LEVELS,GOBP,GO:0070482,0,0,1.35726729,4.214172621,0,3.983877862,2.370713272,0,2.572679623,2.54974099,0,5.035609439,5.364712469,0
NEGATIVE REGULATION OF MAPK CASCADE,GOBP,GO:0043409,2.394173903,5.329032691,4.547005538,2.472197028,4.486203896,1.541119843,3.179656601,0,0,0,0,2.897957668,0,0
REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY,GOBP,GO:2000116,1.900380343,4.297137984,2.122360169,0,1.9935241,3.492720565,3.383559537,2.755017846,0,0,0,1.437813447,0,0
RESPONSE TO HEXOSE,GOBP,GO:0009746,3.776959023,0,5.190174081,1.88439499,2.851678872,3.727668711,2.638359472,3.081440196,0,0,0,1.732103473,0,0
CELL PROJECTION MORPHOGENESIS,GOBP,GO:0048858,0,7.065742534,2.412700767,3.406036019,2.735811873,0,3.053680422,2.87218139,2.102848899,0,0,3.073401358,0,0
POSITIVE REGULATION OF STRESS FIBER ASSEMBLY,GOBP,GO:0051496,0,1.46172781,1.517075064,1.80299145,1.81359734,0,0,1.481989562,2.411304073,0,0,2.910334275,1.422984156,0
RESPONSE TO CARBOHYDRATE,GOBP,GO:0009743,3.356224748,0,4.597560489,1.644549196,2.520657883,3.307973712,2.312759832,3.540610278,0,0,0,2.024838193,0,0
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS,GOBP,GO:0043280,1.800531693,4.927537512,1.459559889,0,1.873538316,2.676967083,1.719419273,1.411548478,0,0,0,1.367856581,0,0
CELLULAR RESPONSE TO IONIZING RADIATION,GOBP,GO:0071479,0,0,1.364958338,0,1.656557385,2.697073261,3.863126747,2.301414404,0,0,0,2.224951579,1.728701348,3.068180002
STRESS-ACTIVATED PROTEIN KINASE SIGNALING CASCADE,GOBP,GO:0031098,1.955631188,5.309324769,1.607473982,0,2.029890951,1.927350958,6.192788785,2.379749338,0,0,0,2.94995563,0,0
REGULATION OF INTRACELLULAR TRANSPORT,GOBP,GO:0032386,2.244113832,3.219801959,3.441815943,0,1.739235658,1.59343151,0,1.556143256,1.411834289,0,0,4.075289426,0,0
NEURON PROJECTION MORPHOGENESIS,GOBP,GO:0048812,0,7.1601964,2.456408958,3.454399033,2.777014103,0,3.100620378,2.340093401,1.913391862,0,0,3.012383555,0,0
RESPONSE TO MONOSACCHARIDE,GOBP,GO:0034284,3.687551543,0,5.06414483,1.833266133,2.781279097,3.638462805,2.569012395,2.995442359,0,0,0,1.564162901,0,0
CELLULAR RESPONSE TO X-RAY,GOBP,GO:0071481,0,0,0,1.441249325,1.446761264,1.409616198,3.124674312,2.886581969,0,0,0,1.488297076,1.629470596,2.482712862
NEGATIVE REGULATION OF CANONICAL WNT SIGNALING PATHWAY,GOBP,GO:0090090,1.516135422,1.766728,0,1.571840021,2.419869994,2.285126927,0,0,1.487649806,0,0,2.956372804,1.55036494,0
REGULATION OF ENDOTHELIAL CELL PROLIFERATION,GOBP,GO:0001936,0,3.031517157,4.14285242,0,2.851678872,1.79837262,1.744864718,1.435778922,2.749350567,0,0,2.747438964,0,0
APOPTOTIC SIGNALING PATHWAY,GOBP,GO:0097190,2.374100427,2.342983381,3.218541186,0,0,2.329490578,2.244071766,0,0,1.679503977,0,2.69474455,1.428004049,0
RESPONSE TO GLUCOSE,GOBP,GO:0009749,3.854929576,0,5.300126115,1.929045343,2.913094147,3.805471133,2.698896269,3.156566007,0,0,0,1.57870013,0,0
